asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,399.086958345,400.703590393,397.976282724,404.335007897,405.564073791,403.228481517,408.765736135,409.487806532,408.213354085,402.519121956,404.043797768,401.569019317,ADM2,UGA_ADM2_1_3_3_0,ABIM,ADM2,2,0,UGA,UG-314,0
1,400.768094166,403.039796557,398.195140839,404.96792584,408.685974121,402.606572469,407.089287266,409.852920532,403.301956176,402.914101887,405.076689221,400.486755372,ADM2,UGA_ADM2_1_3_3_1,ADJUMANI,ADM2,2,1,UGA,UG-301,1
2,398.291519209,400.710113525,396.864666748,403.461473045,405.729908498,401.742467961,407.391956354,408.804713323,404.459976196,404.047474002,405.158287635,402.598542063,ADM2,UGA_ADM2_1_3_3_2,ALEBTONG,ADM2,2,2,UGA,UG-323,2
3,398.577384272,400.873751461,396.765060425,404.15353468,405.47093277,402.136932373,407.300962867,408.216841008,405.332727341,404.137128977,405.20236206,403.03263507,ADM2,UGA_ADM2_1_3_3_3,AMOLATAR,ADM2,2,3,UGA,UG-315,3
4,399.71662112,400.856450861,398.222852707,404.335872059,405.509536743,403.491790771,406.480543262,408.136846924,405.225933838,402.648200237,404.464508057,401.050384522,ADM2,UGA_ADM2_1_3_3_4,AMUDAT,ADM2,2,4,UGA,UG-324,4
5,399.016328579,400.539525885,396.864666748,401.844912882,404.806485858,399.187744141,407.804213383,409.03219993,405.36314053,402.747396662,404.190406607,400.169921875,ADM2,UGA_ADM2_1_3_3_5,AMURIA,ADM2,2,5,UGA,UG-216,5
6,402.176927965,404.030503409,399.273145788,405.280747124,407.442123413,404.09581139,407.937162847,409.852920532,404.925003779,403.81560811,406.416134643,399.889763141,ADM2,UGA_ADM2_1_3_3_6,AMURU,ADM2,2,6,UGA,UG-316,6
7,400.857686183,402.303927335,398.499218053,405.52402438,406.443058014,403.982195498,407.492976229,409.051617432,405.698248831,404.929528058,405.617994822,403.27560554,ADM2,UGA_ADM2_1_3_3_7,APAC,ADM2,2,7,UGA,UG-302,7
8,400.514059334,400.915903727,400.153007175,405.899098516,406.920756313,405.078885905,407.734175977,408.141929211,407.056482858,402.639596395,403.139480591,402.087677002,ADM2,UGA_ADM2_1_3_3_8,BUDAKA,ADM2,2,8,UGA,UG-217,8
9,400.198681757,401.893493652,399.055976868,405.852581414,407.315559387,404.802290618,406.937453348,408.572558368,404.715681596,402.194823502,404.074908917,400.978027344,ADM2,UGA_ADM2_1_3_3_9,BUGIRI,ADM2,2,9,UGA,UG-201,9
10,400.868438687,402.589689821,399.20393971,404.980063585,405.429529363,403.952286805,407.089661574,407.615441751,406.174262581,403.245272259,403.887873332,402.227940415,ADM2,UGA_ADM2_1_3_3_10,BUIKWE,ADM2,2,10,UGA,UG-117,10
11,399.320884953,399.791282947,399.172923161,404.528922998,405.797584025,403.681976319,404.247746756,404.686737061,403.996622721,402.315451481,402.541497124,401.827478997,ADM2,UGA_ADM2_1_3_3_11,BUKOMANSIMBI,ADM2,2,11,UGA,UG-218,11
12,398.656237092,399.338423229,397.68208095,405.426358597,406.639597741,403.925964355,407.217959936,407.635689036,407.044751485,404.338725465,407.682128906,400.8828125,ADM2,UGA_ADM2_1_3_3_12,BUKWO,ADM2,2,12,UGA,UG-220,12
13,399.242948163,400.07568423,398.090515137,406.32529815,407.887567139,405.372544381,407.282888337,407.649481637,406.910050455,403.500634237,407.682128906,401.482854208,ADM2,UGA_ADM2_1_3_3_13,BULAMBULI,ADM2,2,13,UGA,UG-225,13
14,401.579737015,402.791675914,400.739893232,405.281744455,406.039950202,404.055570815,408.742408106,409.630926768,407.910135704,400.721764578,402.161880841,398.768320719,ADM2,UGA_ADM2_1_3_3_14,BULIISA,ADM2,2,14,UGA,UG-416,14
15,401.851807106,403.100570217,400.576803298,404.598427985,405.038002862,404.078832654,405.53500302,406.106078536,405.138114929,403.386462171,403.9924558,402.917432972,ADM2,UGA_ADM2_1_3_3_15,BUNDIBUGYO,ADM2,2,15,UGA,UG-401,15
16,399.671565753,399.920916438,398.944389344,404.693999749,404.79983544,404.561419599,406.472517542,407.380661217,405.609033946,402.486413799,403.64603437,401.095556389,ADM2,UGA_ADM2_1_3_3_16,BUSHENYI,ADM2,2,16,UGA,UG-402,16
17,399.800752132,402.684692383,397.069417318,406.683229873,408.38449707,404.816485596,406.473736536,410.727294921,404.460012991,403.689269895,404.715631326,403.167693512,ADM2,UGA_ADM2_1_3_3_17,BUYENDE,ADM2,2,17,UGA,UG-226,17
18,399.728588329,401.462548245,398.097031884,405.960573681,406.979676125,404.273108164,407.084871185,407.924384223,405.845539356,404.616266628,405.39553637,403.713656693,ADM2,UGA_ADM2_1_3_3_18,DOKOLO,ADM2,2,18,UGA,UG-317,18
19,399.864189588,400.387171109,399.558836917,405.151731166,405.923928833,404.406434801,404.76653631,405.421585083,403.913314819,401.4431464,402.141576767,400.808658176,ADM2,UGA_ADM2_1_3_3_19,BUTAMBALA,ADM2,2,19,UGA,UG-221,19
20,400.702416087,402.030609131,398.442382813,404.621171197,406.340606689,403.177246094,406.985588046,408.215471034,405.29927063,401.307864395,402.864286654,399.894624598,ADM2,UGA_ADM2_1_3_3_20,HOIMA,ADM2,2,20,UGA,UG-403,20
21,398.912353734,401.893493652,398.006896973,406.485272393,408.049301147,405.23828125,407.687360393,408.908874512,406.452334755,403.477343247,404.074908917,401.613720093,ADM2,UGA_ADM2_1_3_3_21,IGANGA,ADM2,2,21,UGA,UG-203,21
22,398.12730472,399.955154419,396.81972758,403.725287154,404.723169299,402.754404704,407.062640272,408.056123783,405.297938029,402.439020795,404.362014771,401.018737793,ADM2,UGA_ADM2_1_3_3_22,KAABONG,ADM2,2,22,UGA,UG-318,22
23,399.706006298,400.303033126,399.255864223,404.901657167,405.489841964,404.107368404,407.762155547,408.913604736,406.642340524,405.278223555,406.312506103,403.909586165,ADM2,UGA_ADM2_1_3_3_23,KABALE,ADM2,2,23,UGA,UG-404,23
24,401.004280644,402.600403511,399.550957574,404.844741231,405.680230805,404.078832654,406.202310593,407.576934814,405.138114929,403.50354562,404.229179055,402.275309844,ADM2,UGA_ADM2_1_3_3_24,KABAROLE,ADM2,2,24,UGA,UG-405,24
25,399.345161176,400.441424052,398.070335388,404.210542527,404.623886108,403.54577863,404.482887763,407.319850667,403.232696533,401.51032001,403.826660155,398.620605469,ADM2,UGA_ADM2_1_3_3_25,KALANGALA,ADM2,2,25,UGA,UG-101,25
26,399.911175412,401.366577149,398.201479398,406.582056028,408.38449707,403.412298584,408.167027397,410.727294921,406.30754598,403.412523074,404.266677856,402.810760498,ADM2,UGA_ADM2_1_3_3_26,KALIRO,ADM2,2,26,UGA,UG-222,26
27,399.313918312,399.558836917,399.140676058,404.417575982,405.620829773,403.64362971,404.549677318,404.987243653,404.195576986,402.233469688,402.433622009,401.83627917,ADM2,UGA_ADM2_1_3_3_27,KALUNGU,ADM2,2,27,UGA,UG-122,27
28,399.907212161,401.348908518,398.966007657,406.248919978,407.631732178,405.277009074,407.386399405,407.744671822,405.858303211,403.410439488,403.654693954,403.180542629,ADM2,UGA_ADM2_1_3_3_28,KAMULI,ADM2,2,28,UGA,UG-205,28
29,399.075437626,399.976867676,398.706237793,404.479626562,404.771535238,403.979404273,406.200780302,407.258643165,405.162414551,403.566212555,405.00102975,400.54484253,ADM2,UGA_ADM2_1_3_3_29,KANUNGU,ADM2,2,29,UGA,UG-414,29
30,399.396807332,399.795611064,398.386590988,406.953488551,407.887567139,405.873630778,407.287513874,407.567425101,407.126499892,403.761820786,407.682128906,402.082895915,ADM2,UGA_ADM2_1_3_3_30,KAPCHORWA,ADM2,2,30,UGA,UG-206,30
31,399.315462834,400.560314941,398.027455647,402.998911553,404.933458513,400.381744732,407.306534486,408.80414067,406.827972594,403.043451305,404.592016698,401.541010284,ADM2,UGA_ADM2_1_3_3_31,KATAKWI,ADM2,2,31,UGA,UG-207,31
32,400.715186048,402.136016846,398.33643341,405.448178432,406.37892456,402.791032155,406.81647628,407.503649255,404.460012991,403.473868044,404.002368927,403.159101214,ADM2,UGA_ADM2_1_3_3_32,KAYUNGA,ADM2,2,32,UGA,UG-112,32
