asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,gqid
0,402.527992892,403.424377442,400.362760544,405.567846655,405.810211607,405.19084929,405.253140041,406.477903366,403.817596436,399.668597302,400.618904675,399.216632843,ADM3,DZA_ADM3_1_3_3_0,El Asnam,ADM3,3,0,DZA,0
1,398.571987955,399.106884427,397.460484066,406.322473649,406.541368408,405.346542358,409.400520533,410.030015377,409.167727695,404.150804838,404.757546319,403.964691162,ADM3,DZA_ADM3_1_3_3_1,Labiodh Medjadja,ADM3,3,1,DZA,1
2,401.902668748,402.241738456,401.439689621,406.418608249,407.651894309,404.794183028,406.517096233,406.917371962,405.658077074,402.397830068,402.724259208,401.767688157,ADM3,DZA_ADM3_1_3_3_2,Sidi Ben Adda,ADM3,3,2,DZA,2
3,399.458206706,399.654564965,399.178261893,405.237941497,405.917302159,404.567088536,409.103855627,410.16607666,408.637229665,403.674149833,404.386387295,402.449471828,ADM3,DZA_ADM3_1_3_3_3,Aïn Babouche,ADM3,3,3,DZA,3
4,400.462311881,401.845458984,399.096114386,406.662634329,406.890335083,406.35889633,406.195229694,410.957756889,404.63803978,399.359640936,401.320281982,397.798919678,ADM3,DZA_ADM3_1_3_3_4,Azails,ADM3,3,4,DZA,4
5,399.630869547,399.630869547,399.630869547,406.318949838,406.318949838,406.318949838,403.114815041,403.114815041,403.114815041,401.207137093,401.207137093,401.207137093,ADM3,DZA_ADM3_1_3_3_5,Hadjret Ennous,ADM3,3,5,DZA,5
6,401.479064845,402.098006815,400.211726262,406.496984363,407.069994036,405.707374901,405.852899535,406.220397635,405.222548946,402.518066007,403.579077149,401.829405867,ADM3,DZA_ADM3_1_3_3_6,Bordj Ghedir,ADM3,3,6,DZA,6
7,401.633907561,401.670331828,401.605401612,406.238316825,406.330777987,406.120172009,403.976427784,404.836199284,403.303563118,400.458650356,400.517906189,400.38293457,ADM3,DZA_ADM3_1_3_3_7,Timezrit,ADM3,3,7,DZA,7
8,400.081513733,401.137137157,399.834651351,406.477825399,407.871915169,405.692407467,406.99024884,407.032330205,406.700622559,400.733321945,401.640564,400.494089144,ADM3,DZA_ADM3_1_3_3_8,Ouled Berkeche,ADM3,3,8,DZA,8
9,399.826274043,400.326504082,399.598328587,406.057540222,407.178098679,405.389509904,407.159836797,407.230567932,406.921456231,400.546908091,401.202901459,400.284969076,ADM3,DZA_ADM3_1_3_3_9,Ain El Kerma,ADM3,3,9,DZA,9
10,399.864169436,400.109444618,399.335625282,405.382687451,407.020411428,404.149828593,407.346406358,407.618139267,407.16086342,400.461127471,401.068869527,399.347614288,ADM3,DZA_ADM3_1_3_3_10,Ain El Arbaa,ADM3,3,10,DZA,10
11,398.772959037,401.023822021,396.084991455,405.704747772,406.833969116,404.175791762,406.407337259,407.430433729,405.565344769,402.884968743,404.262069702,401.618188222,ADM3,DZA_ADM3_1_3_3_11,Dahmouni,ADM3,3,11,DZA,11
12,397.799025387,398.442819932,397.301684243,405.027451164,405.232915969,404.683642578,408.427758224,408.670021811,408.163586426,402.741723949,403.545003255,401.577480756,ADM3,DZA_ADM3_1_3_3_12,M'Cid,ADM3,3,12,DZA,12
13,400.276262088,400.342044979,400.220210346,407.392006288,407.627644053,407.039897881,405.940121913,407.304291426,405.154125977,403.925499532,404.029739341,403.815444888,ADM3,DZA_ADM3_1_3_3_13,El Ancer,ADM3,3,13,DZA,13
14,399.473467965,401.955651687,397.605813096,407.133215336,408.077672323,405.751117169,405.556654647,408.050602722,403.754145304,403.324802022,405.407928466,399.712921143,ADM3,DZA_ADM3_1_3_3_14,Selmana,ADM3,3,14,DZA,14
15,400.175966769,401.021803284,399.043266296,406.247970862,406.710194786,405.534045051,406.438211795,408.008895874,406.224858015,403.45863642,404.128631592,402.439564023,ADM3,DZA_ADM3_1_3_3_15,Ramdane Djamel,ADM3,3,15,DZA,15
16,401.439766018,402.619774159,400.950893999,406.38367902,406.784542465,405.886510891,405.348718546,405.878181789,403.173156738,404.453285527,404.732365615,404.083934118,ADM3,DZA_ADM3_1_3_3_16,Tafreg,ADM3,3,16,DZA,16
17,397.968023599,400.417135239,396.942367554,404.545503334,405.460324548,403.497338613,404.353206263,405.766235352,402.745391846,403.9001842,405.43581572,402.203595613,ADM3,DZA_ADM3_1_3_3_17,Draa Kebila,ADM3,3,17,DZA,17
18,399.978923699,402.015228272,398.694661458,405.242384575,407.775141963,402.224456787,407.359018089,409.883880616,404.241455078,402.166373544,407.491292317,400.152205034,ADM3,DZA_ADM3_1_3_3_18,Lebnoud,ADM3,3,18,DZA,18
19,399.62450872,400.505643693,399.019223307,406.129878407,407.027313949,404.395629883,406.212333602,406.649221148,405.904043512,402.449928897,402.870654817,401.063849313,ADM3,DZA_ADM3_1_3_3_19,El Bouni,ADM3,3,19,DZA,19
20,402.547328939,403.424377442,400.362760544,405.395440997,405.681238668,405.19084929,405.093109555,406.477903366,404.217873054,399.286976087,400.471074793,398.765597026,ADM3,DZA_ADM3_1_3_3_20,Haizer,ADM3,3,20,DZA,20
21,399.632078669,400.45514352,398.96219492,405.724522122,406.035946886,405.427577209,407.815537605,408.180145264,407.0595351,403.765446317,404.324781583,403.398280788,ADM3,DZA_ADM3_1_3_3_21,Maaouia,ADM3,3,21,DZA,21
22,398.793112107,400.547589111,397.743618182,404.628683074,406.161224365,400.764465332,405.68475503,407.87143046,404.868986769,402.295258216,405.609860229,399.958483319,ADM3,DZA_ADM3_1_3_3_22,Sidi Ameur,ADM3,3,22,DZA,22
23,398.73574293,399.973050944,398.077219645,406.419195599,406.801427433,406.109189753,405.587707053,408.973541258,403.996199996,402.129536459,403.506578947,401.105485505,ADM3,DZA_ADM3_1_3_3_23,Sigus,ADM3,3,23,DZA,23
