asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,396.852025738,399.440226835,394.668325571,403.493300127,404.847086939,402.371538518,405.307550393,406.603607177,404.133785248,402.885815405,405.528259277,401.358362645,ADM1,BWA_ADM1_1_3_3_0,South-East District,ADM1,1,0,BWA,BW-SE,0
1,397.966344102,400.61138916,395.586723691,403.077115441,405.473291355,400.087310791,406.692038417,408.576104058,403.930122375,401.829875481,405.966278076,396.276837158,ADM1,BWA_ADM1_1_3_3_1,Kgatleng District,ADM1,1,1,BWA,BW-KL,1
2,397.857000163,400.00553555,395.803833008,402.389953573,404.114376492,400.446762085,405.502954156,407.192816693,403.097789485,401.052952715,403.82333374,399.346263886,ADM1,BWA_ADM1_1_3_3_2,North-East District,ADM1,1,2,BWA,BW-NE,2
3,398.723781618,404.172175816,394.665995281,403.517812008,408.807586669,397.789215089,406.270043384,410.929789225,401.291992189,402.078308337,406.972885132,393.179992677,ADM1,BWA_ADM1_1_3_3_3,Central District,ADM1,1,3,BWA,BW-CE,3
4,398.616439906,404.480407715,393.88697815,403.444563973,410.1721344,395.70483491,405.796413506,409.653696696,400.892832438,402.016322122,408.22374471,397.943084718,ADM1,BWA_ADM1_1_3_3_4,Ghanzi District,ADM1,1,4,BWA,BW-GH,4
5,398.305541181,405.372802734,393.346984863,403.482379527,407.785919189,399.277348836,406.839147431,410.861816406,404.153556825,401.577318013,406.260314941,398.727319336,ADM1,BWA_ADM1_1_3_3_5,Kweneng District,ADM1,1,5,BWA,BW-KW,5
6,399.46013587,405.764953613,395.211456299,403.043789442,406.263373879,398.155838013,406.252815675,409.338150025,404.133785248,401.429253286,405.551949056,398.835754394,ADM1,BWA_ADM1_1_3_3_6,Southern District,ADM1,1,6,BWA,BW-SO,6
7,398.28006368,404.933682527,395.255574545,403.454265732,408.613596598,398.511352539,405.481946553,410.530548096,401.558873957,401.59362862,406.39781189,397.688346864,ADM1,BWA_ADM1_1_3_3_7,Kgalagadi District,ADM1,1,7,BWA,BW-KG,7
8,399.212784718,406.220520019,390.958290101,404.140427958,408.916516114,396.409651323,406.150631385,412.146148682,402.660125732,402.419594809,406.221298218,398.227539062,ADM1,BWA_ADM1_1_3_3_8,North-West District,ADM1,1,8,BWA,BW-NW,8
9,398.990603732,404.152740479,394.659158707,403.828227009,407.310287475,400.135826698,407.447508403,412.654510498,402.859100343,402.137136866,406.132263184,397.764685059,ADM1,BWA_ADM1_1_3_3_9,Chobe District,ADM1,1,9,BWA,BW-CH,9
