asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,401.168967687,403.783107213,399.479476575,405.052668445,405.514251709,404.337188721,408.832848427,411.61328125,406.719573975,405.509699932,407.686096191,400.743598938,ADM2,BFA_ADM2_1_3_3_0,Bale,ADM2,2,0,BFA,0
1,401.136988252,402.706036377,399.415744358,404.691043887,405.548626709,403.6484375,409.94356116,411.61328125,406.719573975,404.097200582,407.686096191,400.089538574,ADM2,BFA_ADM2_1_3_3_1,Mouhoun,ADM2,2,1,BFA,1
2,401.090808293,404.482200622,398.358414361,405.328500273,407.810564314,404.419525146,409.242604773,410.71300476,400.999053956,404.661242823,406.346324921,399.203582763,ADM2,BFA_ADM2_1_3_3_2,Nayala,ADM2,2,2,BFA,2
3,400.311590311,401.566176565,399.400360107,407.16251591,408.533650716,405.396569378,406.577028302,410.125015985,403.091400147,404.17392804,406.292488099,397.418432617,ADM2,BFA_ADM2_1_3_3_3,Boulkiemde,ADM2,2,3,BFA,3
4,400.081253193,403.494186401,397.462249756,405.980637199,408.485767111,404.419525146,407.614937743,409.806933594,403.918354741,404.210234649,407.616363525,394.068481446,ADM2,BFA_ADM2_1_3_3_4,Sanguie,ADM2,2,4,BFA,4
5,401.206588173,404.103363037,399.623275757,405.789562283,407.443422106,404.047239757,408.253918365,411.375793457,401.712559002,404.819518094,406.271030971,399.345336915,ADM2,BFA_ADM2_1_3_3_5,Ziro,ADM2,2,5,BFA,5
6,400.587089755,402.766929626,399.0125975,405.181059778,406.217622453,404.764190674,410.654330279,412.115036011,407.352480132,403.414055312,406.268527021,397.682054439,ADM2,BFA_ADM2_1_3_3_6,Bougouriba,ADM2,2,6,BFA,6
7,400.796562955,402.844260191,396.636593819,406.26855095,408.585266113,404.223475139,409.310506866,411.207550049,401.741851807,402.11725708,407.192452171,396.86432902,ADM2,BFA_ADM2_1_3_3_7,Houet,ADM2,2,7,BFA,7
8,400.821662581,403.783107213,399.105213995,405.016792973,406.253709424,403.6484375,410.05900464,412.086296929,407.149169922,403.608331256,406.977137974,398.799346924,ADM2,BFA_ADM2_1_3_3_8,Tuy,ADM2,2,8,BFA,8
9,398.807277452,403.028991699,391.803390503,406.309254697,408.146187918,402.296386719,408.168445944,409.283319092,404.470020179,403.391363672,406.426696777,398.522674561,ADM2,BFA_ADM2_1_3_3_9,Gnagna,ADM2,2,9,BFA,9
10,398.936291689,401.718308882,395.811808268,405.55306527,408.787434895,400.056793213,408.076295543,409.640777588,404.202582359,402.344801084,406.414868164,398.534301758,ADM2,BFA_ADM2_1_3_3_10,Gourma,ADM2,2,10,BFA,10
11,398.845916516,401.453094482,396.452011911,405.552392355,406.76572975,402.849517822,407.77468233,408.767364502,406.994792738,402.562308656,403.343362662,399.007734026,ADM2,BFA_ADM2_1_3_3_11,Komonjdjari,ADM2,2,11,BFA,11
12,400.680030732,402.6277771,399.575749792,407.293512953,408.314113072,402.595171247,404.318917689,407.443992676,402.192922419,400.009377126,403.784136963,397.958180746,ADM2,BFA_ADM2_1_3_3_12,Kouritenga,ADM2,2,12,BFA,12
13,400.026599197,401.390643596,398.795018735,407.736449635,409.08013916,403.329182943,408.652677783,411.219299316,403.023600261,403.835716737,406.403125,394.860656739,ADM2,BFA_ADM2_1_3_3_13,Kadiogo,ADM2,2,13,BFA,13
14,399.738625049,402.6277771,397.10282135,404.868989335,408.296407064,396.934692384,407.68533534,409.379048296,403.002456665,403.64965306,406.346755028,400.052964953,ADM2,BFA_ADM2_1_3_3_14,Ganzourgou,ADM2,2,14,BFA,14
15,400.406003002,400.93257904,399.457069166,408.396736097,409.185490926,406.899266415,408.453202701,411.219299316,405.442847999,405.28521835,406.292488099,398.300303142,ADM2,BFA_ADM2_1_3_3_15,Kourweogo,ADM2,2,15,BFA,15
16,399.432152115,400.625940595,396.484773335,406.358282794,409.185490926,396.934692384,408.623317143,409.987655639,403.109504931,404.627035048,406.221786499,398.300303142,ADM2,BFA_ADM2_1_3_3_16,Oubritenga,ADM2,2,16,BFA,16
17,399.54304209,399.856265259,399.208720454,408.108581839,410.336654663,405.857828776,408.443483566,409.854003625,405.051765747,405.224538413,406.17175293,403.703653335,ADM2,BFA_ADM2_1_3_3_17,Loroum,ADM2,2,17,BFA,17
18,400.285207686,401.252075195,399.485719953,408.620276359,409.788909912,405.801333405,406.544451094,409.86252703,403.269958496,403.157706011,406.509490967,398.616715089,ADM2,BFA_ADM2_1_3_3_18,Passore,ADM2,2,18,BFA,18
19,399.637431103,400.153314352,399.380292257,407.561914808,408.828220021,405.971458512,405.915523876,409.935272217,403.227498373,403.754227759,405.803926595,400.24636364,ADM2,BFA_ADM2_1_3_3_19,Zondoma,ADM2,2,19,BFA,19
20,401.115495718,403.467140198,397.10282135,407.137814417,409.08013916,405.901127068,408.467516573,409.915596352,403.023600261,404.159567082,407.038569273,397.903558732,ADM2,BFA_ADM2_1_3_3_20,Bazega,ADM2,2,20,BFA,20
21,400.736024209,403.758775462,397.10282135,406.253716734,407.592184628,403.175842285,409.585821541,411.49029541,402.176971436,404.363305134,409.011688231,397.903558732,ADM2,BFA_ADM2_1_3_3_21,Zoundweogo,ADM2,2,21,BFA,21
22,399.514014962,400.371140489,399.015193939,407.506220917,410.336654663,402.145050049,408.515345464,409.86252703,402.180735271,404.206693925,406.805557251,400.776291656,ADM2,BFA_ADM2_1_3_3_22,Bam,ADM2,2,22,BFA,22
23,400.235863919,401.445861816,398.914358774,405.444372577,408.348571777,402.477376938,405.784153871,409.490687779,402.989883423,403.96467596,405.774332864,400.096180725,ADM2,BFA_ADM2_1_3_3_23,Namentenga,ADM2,2,23,BFA,23
24,399.681693706,401.345840454,396.484773335,404.914185318,408.482004236,400.970367432,407.370299728,409.566048758,403.42489624,404.609124007,406.025165994,403.02270813,ADM2,BFA_ADM2_1_3_3_24,Sanmatenga,ADM2,2,24,BFA,24
25,402.016135118,403.497599284,398.261383056,406.446792841,408.978187561,404.336431776,408.468101075,410.825012207,406.306259156,404.736350578,407.329828535,401.534576416,ADM2,BFA_ADM2_1_3_3_25,Kenedougou,ADM2,2,25,BFA,25
26,401.922603649,403.023521599,398.261383056,405.64614212,408.537185669,401.823898316,408.110070505,409.532965088,405.658203125,403.977351564,405.859906448,402.340104675,ADM2,BFA_ADM2_1_3_3_26,Leraba,ADM2,2,26,BFA,26
27,401.462569099,404.310918635,397.174433955,406.579422329,408.83026886,401.823898316,408.959153349,411.043518066,405.658203125,403.233080509,408.726484026,396.464172363,ADM2,BFA_ADM2_1_3_3_27,Comoe,ADM2,2,27,BFA,27
28,402.064686664,404.880706787,399.250717163,408.614357279,410.252929688,406.849025302,407.465229063,408.500266849,406.800946045,407.096403758,407.693013659,406.287167262,ADM2,BFA_ADM2_1_3_3_28,Noumbiel,ADM2,2,28,BFA,28
29,400.91098139,405.120463053,397.863805434,407.698649589,410.252929688,404.963153076,409.559712403,412.434967041,406.97673289,404.888072531,407.432723474,396.464172363,ADM2,BFA_ADM2_1_3_3_29,Poni,ADM2,2,29,BFA,29
30,400.817663491,403.109092713,399.702005586,404.98539875,405.473778456,404.813993028,408.455728781,412.115036011,406.913189228,406.121332873,407.527143206,403.237085054,ADM2,BFA_ADM2_1_3_3_30,Ioba,ADM2,2,30,BFA,30
31,400.758736495,403.109092713,398.498908001,404.954304706,406.834731571,403.169799805,409.175827702,411.375793457,405.292510986,404.095311142,407.616363525,398.04305013,ADM2,BFA_ADM2_1_3_3_31,Sissili,ADM2,2,31,BFA,31
32,402.156497494,403.864352682,400.019949777,407.088721745,408.174112956,401.955704662,407.736342243,411.917999268,401.712559002,404.441969213,409.011688231,396.407623292,ADM2,BFA_ADM2_1_3_3_32,Nahouri,ADM2,2,32,BFA,32
33,401.207483778,403.630377985,397.10282135,406.250158818,408.296407064,401.955704662,406.318087801,410.269541422,400.759033203,402.805548458,407.890188081,398.94970398,ADM2,BFA_ADM2_1_3_3_33,Boulgou,ADM2,2,33,BFA,33
34,400.444212143,403.587493896,397.462658691,406.673975649,408.289375814,405.428912353,407.937082109,411.96270752,400.759033203,401.411605856,404.645785522,398.959060669,ADM2,BFA_ADM2_1_3_3_34,Koulpelogo,ADM2,2,34,BFA,34
35,401.168944439,405.716975161,394.276428223,406.312854314,409.119255066,402.024800618,408.714428273,411.96270752,407.058673623,402.822491836,405.278853472,397.46812439,ADM2,BFA_ADM2_1_3_3_35,Kompienga,ADM2,2,35,BFA,35
36,401.610056116,404.376678467,395.811808268,405.909213472,409.407073975,403.217559814,407.418938361,408.580488342,406.51537323,402.453199245,406.610961914,395.261291505,ADM2,BFA_ADM2_1_3_3_36,Tapoa,ADM2,2,36,BFA,36
