asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Level,adm_int,feature_id,iso,gqid
0,400.05864309,401.263173421,399.089583177,405.41329947,406.224599202,404.490836807,407.755578136,408.034622192,407.391954695,405.79124977,406.276153564,401.507659913,ADM2,BDI_ADM2_1_3_3_0,ADM2,2,0,BDI,0
1,400.023987625,401.304696401,399.090165138,405.767818927,406.224599202,405.216710554,407.767935409,408.027770214,407.549535936,405.313348272,405.804893917,404.401638879,ADM2,BDI_ADM2_1_3_3_1,ADM2,2,1,BDI,1
2,400.10429083,401.346219381,399.090165138,406.003483362,406.224599202,405.320170084,407.547668094,408.027770214,407.179621435,404.757788962,405.33363427,403.862997182,ADM2,BDI_ADM2_1_3_3_2,ADM2,2,2,BDI,2
3,401.157273626,401.354920523,400.457407634,405.994385422,406.221599731,405.661573356,407.399097384,407.608050671,407.179621435,404.260201274,405.33363427,403.862997182,ADM2,BDI_ADM2_1_3_3_3,ADM2,2,3,BDI,3
4,400.152672528,402.068939209,399.089583177,404.697174181,405.216710554,404.339235336,407.198996638,407.831191524,406.344980876,402.661675412,406.276153564,398.884084602,ADM2,BDI_ADM2_1_3_3_4,ADM2,2,4,BDI,4
5,401.303087858,402.068939209,400.415884654,405.4471841,405.723180358,404.771847753,407.69296852,407.865531675,407.515195785,404.645508038,405.804893917,404.277398682,ADM2,BDI_ADM2_1_3_3_5,ADM2,2,5,BDI,5
6,400.906958837,401.346219381,399.751368172,406.27746921,406.585681844,406.156305601,407.148877598,407.316229516,406.917544457,404.079457847,404.210016632,403.499081328,ADM2,BDI_ADM2_1_3_3_6,ADM2,2,6,BDI,6
7,400.352377141,402.068939209,399.3516068,404.529566547,404.805585643,404.150939941,406.843588406,407.898470664,404.392684937,401.01525459,404.412162781,398.157234193,ADM2,BDI_ADM2_1_3_3_7,ADM2,2,7,BDI,7
8,400.26961308,401.354920523,399.26743684,406.095634781,406.689169733,405.284186336,407.260789023,407.762511222,406.883204307,403.621203969,404.277398682,403.376258064,ADM2,BDI_ADM2_1_3_3_8,ADM2,2,8,BDI,8
9,401.337806579,402.068939209,399.629529572,405.015577603,405.314989837,404.593804932,407.805599049,408.00982666,407.340289525,403.831026432,404.412162781,398.884084602,ADM2,BDI_ADM2_1_3_3_9,ADM2,2,9,BDI,9
10,399.438173941,400.341607819,398.928194641,406.144671454,406.714104455,405.74811508,407.191231348,407.480855634,406.608027141,403.456855014,403.511852473,403.417199152,ADM2,BDI_ADM2_1_3_3_10,ADM2,2,10,BDI,10
11,399.867963093,400.931847466,398.810548865,404.667969948,405.314989837,404.326984951,407.460361403,408.00982666,405.956998763,401.585997895,403.382643636,398.157234193,ADM2,BDI_ADM2_1_3_3_11,ADM2,2,11,BDI,11
12,399.987562419,401.711929866,399.121043437,405.384035173,405.797984525,404.839323534,407.598400798,408.00982666,406.930501302,403.236738376,404.344780731,400.912214491,ADM2,BDI_ADM2_1_3_3_12,ADM2,2,12,BDI,12
13,399.828299628,401.254898253,398.735345846,406.342909496,406.700845418,405.972681193,406.775537714,407.179621435,406.285552979,403.738979612,404.142634583,403.499081328,ADM2,BDI_ADM2_1_3_3_13,ADM2,2,13,BDI,13
14,399.253467061,399.751368172,398.928194641,406.607807999,406.714104455,406.25604449,406.771599739,406.917544457,406.601548718,403.513414378,403.546407989,403.470911385,ADM2,BDI_ADM2_1_3_3_14,ADM2,2,14,BDI,14
15,398.983095989,399.456248348,398.735345846,406.582778441,406.714104455,406.269885823,406.529317618,406.883204307,406.285552979,403.549186091,403.593734649,403.505466901,ADM2,BDI_ADM2_1_3_3_15,ADM2,2,15,BDI,15
16,399.310703859,399.794755724,398.942704111,405.067578342,405.364859281,404.839323534,407.289789798,408.00982666,407.091738383,401.47137467,402.171092394,399.700663249,ADM2,BDI_ADM2_1_3_3_16,ADM2,2,16,BDI,16
17,399.694528002,400.477241516,397.611419678,403.705848906,404.593804932,402.955377791,405.565733677,407.340289525,404.677452449,402.382210017,403.100728353,398.157234193,ADM2,BDI_ADM2_1_3_3_17,ADM2,2,17,BDI,17
18,399.046090412,400.375452456,397.611419678,404.131394847,404.484950474,402.955377791,406.16428706,406.794877486,405.246987471,402.068998352,403.073071289,398.157234193,ADM2,BDI_ADM2_1_3_3_18,ADM2,2,18,BDI,18
19,399.137034573,399.313892233,398.810548865,404.8513887,404.906799316,404.484950474,407.202167666,407.393953959,405.956998763,400.543579256,402.546062012,399.700663249,ADM2,BDI_ADM2_1_3_3_19,ADM2,2,19,BDI,19
20,399.119309807,399.531096282,398.968619426,405.959308152,406.280979212,405.773049802,406.938388416,407.446515483,406.769264221,403.191561519,403.477296957,402.218419054,ADM2,BDI_ADM2_1_3_3_20,ADM2,2,20,BDI,20
21,398.749987052,398.831770244,398.679346232,406.709128863,406.882886474,406.45192688,406.392384377,406.448108419,406.285552979,403.575834861,403.600120221,403.552793561,ADM2,BDI_ADM2_1_3_3_21,ADM2,2,21,BDI,21
