asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,400.212012112,402.370541043,396.778549194,405.144161025,406.571665446,402.518839518,405.89652108,407.063984462,403.85760498,403.028240197,405.849716186,399.650283813,ADM1,CPV_ADM1_1_3_3_0,Boa Vista,ADM1,1,0,CPV,CV-BV,0
1,401.51948263,402.324981689,399.114723206,405.432365747,405.762752757,404.106414795,405.078422173,406.003000895,404.685767679,401.297466201,401.903098551,400.851430257,ADM1,CPV_ADM1_1_3_3_1,Brava,ADM1,1,1,CPV,CV-BR,1
2,400.023414361,400.717207845,399.153557795,405.445566487,405.725513083,405.16793891,407.72193315,407.869781494,406.35975975,403.444246293,404.130676269,402.67800293,ADM1,CPV_ADM1_1_3_3_2,Maio,ADM1,1,2,CPV,CV-MA,2
3,398.003586233,398.433448079,397.457048416,404.878195425,406.734680176,404.134575885,404.733056725,405.627629916,404.267337861,401.515411481,403.146982653,401.31224094,ADM1,CPV_ADM1_1_3_3_3,Sal,ADM1,1,3,CPV,CV-SL,3
4,398.357414906,398.734793527,397.863803973,404.042209733,404.407890974,403.580196061,407.749340797,411.745129394,403.455581665,402.338415556,403.074925349,401.317262627,ADM1,CPV_ADM1_1_3_3_4,São Vicente,ADM1,1,4,CPV,CV-SV,4
5,399.017406055,401.328033447,396.97315979,405.023984658,406.072579124,404.265963467,406.149863601,406.869267055,405.772979736,402.483079065,404.225546417,398.017883301,ADM1,CPV_ADM1_1_3_3_5,Ribeira Brava,ADM1,1,5,CPV,CV-RB,5
6,397.545617149,397.98533812,396.283905029,404.146144332,404.726852417,403.07750651,405.740029006,406.027824402,405.254659017,401.745930006,402.836486816,399.666132074,ADM1,CPV_ADM1_1_3_3_6,Tarrafal de São Nicolau,ADM1,1,6,CPV,CV-TS,6
7,400.553282367,402.261901856,397.911084856,404.242270326,405.751268889,402.555358887,407.764722143,410.992574056,404.239390055,402.034352202,406.726364136,400.761281331,ADM1,CPV_ADM1_1_3_3_7,Porto Novo,ADM1,1,7,CPV,CV-PN,7
8,399.782591949,402.261901856,398.949657812,404.050131438,404.427008684,402.555358887,407.972203363,408.950744629,404.239390055,401.386798523,401.854926215,400.761281331,ADM1,CPV_ADM1_1_3_3_8,Ribeira Grande,ADM1,1,8,CPV,CV-RG,8
9,399.402062573,400.745453876,399.257705575,404.1245451,404.427008684,403.974656092,407.333960522,408.216885653,405.411183676,401.171430284,402.065388998,400.761281331,ADM1,CPV_ADM1_1_3_3_9,Paul,ADM1,1,9,CPV,CV-PA,9
10,398.368300678,399.094032613,397.682926178,404.053331687,404.144887288,403.897422791,405.750815956,406.208253748,405.221895922,401.689574115,402.86335462,400.638875008,ADM1,CPV_ADM1_1_3_3_10,Mosteiros,ADM1,1,10,CPV,CV-MO,10
11,398.225426717,398.36752472,397.605247498,404.7074446,405.759216308,403.897422791,405.991458215,406.208253748,405.821126302,404.063948059,406.109771729,402.691773127,ADM1,CPV_ADM1_1_3_3_11,Santa Catarina do Fogo,ADM1,1,11,CPV,CV-CF,11
12,398.893772204,399.736721802,398.314220937,404.446619274,405.254120963,403.979590522,405.902682441,406.081661149,405.221895922,402.729382314,405.058103434,400.638875008,ADM1,CPV_ADM1_1_3_3_12,São Filipe,ADM1,1,12,CPV,CV-SF,12
13,401.567905197,401.904248047,400.657353477,407.036430287,407.927424504,405.98491705,406.013112106,406.498838544,404.933675913,403.999985851,404.832940674,400.034472656,ADM1,CPV_ADM1_1_3_3_13,São Miguel,ADM1,1,13,CPV,CV-SM,13
14,400.91428578,402.71320888,399.726561271,405.780607183,407.927424504,405.299795532,406.65055644,408.064001174,405.529425695,402.818594879,404.340947469,402.240016392,ADM1,CPV_ADM1_1_3_3_14,Tarrafal,ADM1,1,14,CPV,CV-TA,14
