asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,398.933918843,402.618041993,396.048706055,402.208069472,405.763068305,398.26751709,405.179448362,410.455383301,401.976867676,401.622103558,406.245971679,399.665239122,ADM1,LSO_ADM1_1_3_3_0,Mokhotlong District,ADM1,1,0,LSO,LS-J,0
1,399.203130364,402.243713379,395.8556633,402.385660362,405.069000244,399.478973389,405.144611567,406.924102783,402.120910646,400.956707294,405.364074707,398.181523641,ADM1,LSO_ADM1_1_3_3_1,Maseru District,ADM1,1,1,LSO,LS-A,1
2,399.666560416,400.890552521,398.637371245,402.475381834,403.727971395,400.366386414,406.452227547,408.696029663,404.687133789,401.535659178,404.307266235,400.168701172,ADM1,LSO_ADM1_1_3_3_2,Butha-Buthe District,ADM1,1,2,LSO,LS-B,2
3,399.644830134,402.361724854,394.676971437,403.441307321,406.430913289,399.907318115,405.110568819,409.939559936,403.236618042,401.174924816,403.380699158,397.201873779,ADM1,LSO_ADM1_1_3_3_3,Mohale's Hoek District,ADM1,1,3,LSO,LS-F,3
4,400.440831713,402.243713379,396.252839225,403.474507195,404.921051025,400.249938965,404.930876038,405.823826381,403.810594831,402.453058882,405.364074707,397.201873779,ADM1,LSO_ADM1_1_3_3_4,Mafeteng District,ADM1,1,4,LSO,LS-E,4
5,399.269153598,402.361724854,394.676971437,402.529910939,404.551348877,399.907318115,405.042227151,409.939559936,403.061691284,400.077619581,405.348602295,398.094726563,ADM1,LSO_ADM1_1_3_3_5,Quthing District,ADM1,1,5,LSO,LS-G,5
6,399.103401903,401.557281494,397.384349955,403.198498228,405.069000244,401.386527321,405.658662196,406.924102783,402.120910646,401.056369067,402.909340598,399.590780935,ADM1,LSO_ADM1_1_3_3_6,Berea District,ADM1,1,6,LSO,LS-D,6
7,399.453486999,403.042160033,394.108352662,403.551881014,407.670669555,400.134782579,405.640821519,409.185434977,401.469403585,400.952927741,403.075013968,399.337203979,ADM1,LSO_ADM1_1_3_3_7,Thaba-Tseka District,ADM1,1,7,LSO,LS-K,7
8,400.088854869,403.042160033,396.552490845,404.658081003,408.236755371,401.29674094,405.196580849,406.728713989,402.038482666,401.264101785,403.67591095,399.156188965,ADM1,LSO_ADM1_1_3_3_8,Qacha's Nek District,ADM1,1,8,LSO,LS-H,8
9,399.505636654,401.388954163,397.769360255,403.030222298,404.364790175,402.06619517,406.676792871,410.455383301,404.015350342,401.485818172,404.307266235,399.590780935,ADM1,LSO_ADM1_1_3_3_9,Leribe District,ADM1,1,9,LSO,LS-C,9
