asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,399.413742683,399.681783248,399.164988615,404.210370904,404.769954634,403.410955847,404.462473421,404.670968918,404.204830439,399.333754096,402.035934928,398.960487366,ADM2,LBR_ADM2_1_3_3_0,B'hai,ADM2,2,0,LBR,0
1,398.736469476,399.034351594,398.321836791,404.573151164,404.781838491,404.42175293,404.611909478,406.078885905,403.321263631,401.532230514,402.219108227,401.090653298,ADM2,LBR_ADM2_1_3_3_1,Barclayville,ADM2,2,1,LBR,1
2,401.151340865,403.112397512,399.587595972,402.347331852,403.861473084,401.198150635,405.889775364,406.100034441,405.413652868,401.999451079,402.341138349,401.520867958,ADM2,LBR_ADM2_1_3_3_2,Beawor,ADM2,2,2,LBR,2
3,401.260229883,401.910776817,400.545356369,406.112569421,407.241625828,404.824827001,407.831026731,409.540934245,407.321860134,403.504056446,405.595794678,399.752212524,ADM2,LBR_ADM2_1_3_3_3,Belleh,ADM2,2,3,LBR,3
4,398.543853003,399.298357591,398.321836791,404.712644671,404.861338514,404.551907067,404.170721766,405.021308285,403.321263631,401.766276071,402.068800585,401.463360318,ADM2,LBR_ADM2_1_3_3_4,Bleebo,ADM2,2,4,LBR,4
5,399.038046739,399.242484779,398.875663173,403.515274768,403.82454201,403.187304462,405.01367149,406.066231282,404.060839843,402.414203405,403.028289795,401.899834866,ADM2,LBR_ADM2_1_3_3_5,Bodae,ADM2,2,5,LBR,5
6,400.162559261,400.958408966,399.622234111,405.429379783,405.978803093,404.65245188,406.631133701,407.972705344,404.648669387,403.347872643,403.827080892,401.918144946,ADM2,LBR_ADM2_1_3_3_6,Boe and Quilla,ADM2,2,6,LBR,6
7,400.987946242,401.52041626,399.625696818,404.486715839,404.769251306,404.047851028,405.312459934,405.903164186,404.459594727,402.327009069,402.88790135,401.093615069,ADM2,LBR_ADM2_1_3_3_7,Boinsen,ADM2,2,7,LBR,7
8,401.190455829,401.496882608,400.936417961,405.272380568,406.069457637,404.612653477,407.501030164,407.613997355,407.314906356,400.791105237,406.61026001,399.611450195,ADM2,LBR_ADM2_1_3_3_8,Bokomu,ADM2,2,8,LBR,8
9,399.269873228,399.415113667,399.048292061,403.557813976,403.928757166,403.395734773,406.265380169,407.068927002,405.266605631,403.018851965,403.417550043,402.359082001,ADM2,LBR_ADM2_1_3_3_9,Bokon,ADM2,2,9,LBR,9
10,399.142946103,399.228108892,399.048292061,403.825532823,404.032972322,403.681606265,405.863349786,406.472371419,405.266605631,402.643326155,402.888316022,402.359082001,ADM2,LBR_ADM2_1_3_3_10,Bolloh,ADM2,2,10,LBR,10
11,400.815860748,401.242467393,400.36304476,404.742373057,406.600117077,403.937294779,407.269054608,407.621482849,406.953215646,401.312332761,403.338104248,399.611450195,ADM2,LBR_ADM2_1_3_3_11,Bopolu,ADM2,2,11,LBR,11
12,398.722373465,399.048292061,398.501653623,404.378714605,404.547622746,403.928757166,404.256996478,405.4696757,403.550064964,401.489614733,402.359082001,401.160640185,ADM2,LBR_ADM2_1_3_3_12,Buah,ADM2,2,12,LBR,12
13,400.527251028,400.996315987,400.202555847,403.906243193,404.840098063,403.128797259,405.824781912,407.431134033,405.647448823,403.102143079,403.304750272,402.82294431,ADM2,LBR_ADM2_1_3_3_13,Butaw,ADM2,2,13,LBR,13
14,400.258224897,400.979175291,399.49111627,406.042844207,406.662899158,405.219045191,407.574560787,409.137400973,404.757837932,403.206088626,403.656581333,402.842980957,ADM2,LBR_ADM2_1_3_3_14,Buu-Yao,ADM2,2,14,LBR,14
15,399.808086335,400.175314476,399.413513135,405.704823364,406.362975179,404.812971358,406.627637326,407.093034332,405.858817653,404.250819688,404.929350754,403.784349639,ADM2,LBR_ADM2_1_3_3_15,Careysburg,ADM2,2,15,LBR,15
16,398.969485977,399.331957297,398.535367451,402.990709209,404.331408258,401.125444364,403.940391553,405.21633199,403.61867685,400.902248875,405.099502563,399.387869093,ADM2,LBR_ADM2_1_3_3_16,Cavala,ADM2,2,16,LBR,16
17,400.40695441,402.72861735,398.875649638,402.170219833,403.084468842,401.420013428,405.759129699,406.018322536,405.276994436,401.477285275,402.063592017,400.668238648,ADM2,LBR_ADM2_1_3_3_17,Central Rivercess,ADM2,2,17,LBR,17
18,398.483584864,398.964765871,398.03245485,403.014663471,403.511896543,402.021857258,405.635933787,408.347890662,403.451629638,402.134926245,402.92697324,401.650548391,ADM2,LBR_ADM2_1_3_3_18,Chedepo,ADM2,2,18,LBR,18
19,399.503890077,399.73805261,399.300790744,406.061972324,406.362975179,405.953142594,406.649807499,406.778204974,405.858817653,404.854206116,405.260141833,404.522245736,ADM2,LBR_ADM2_1_3_3_19,Commonwealth,ADM2,2,19,LBR,19
20,398.094782938,398.190699991,398.066812175,403.547541456,403.784898983,403.47832466,405.535900763,405.581761496,405.378635607,400.891689507,400.93780621,400.73354658,ADM2,LBR_ADM2_1_3_3_20,Commonwealth B,ADM2,2,20,LBR,20
21,397.890850369,399.351529093,396.87898648,407.69585109,408.234194892,407.257463403,406.998128025,407.19288434,406.800910363,402.476472612,403.267966246,401.639474052,ADM2,LBR_ADM2_1_3_3_21,Commonwealth C,ADM2,2,21,LBR,21
22,399.184851867,400.626204039,398.190699991,404.667126248,405.254387859,403.784898983,405.636621439,406.539390414,405.200049795,402.511006934,403.762337667,400.73354658,ADM2,LBR_ADM2_1_3_3_22,District No. 1,ADM2,2,22,LBR,22
23,399.366915166,401.726172553,398.139115425,404.700132379,405.708580289,403.592793258,405.458761451,406.615405213,404.843204652,401.065588796,402.519394209,400.123856599,ADM2,LBR_ADM2_1_3_3_23,District No. 2,ADM2,2,23,LBR,23
24,398.778357264,401.588899108,397.735931396,403.878115177,404.559672782,402.994132602,405.020178119,405.60943549,404.459594727,400.493224861,402.108548192,399.705950419,ADM2,LBR_ADM2_1_3_3_24,District No. 3,ADM2,2,24,LBR,24
25,400.738519202,404.014953612,397.855188169,403.011475674,403.715532881,402.431372668,405.640640267,405.908936637,405.175837237,401.104627209,401.770445206,400.487201205,ADM2,LBR_ADM2_1_3_3_25,District No. 4,ADM2,2,25,LBR,25
26,400.000939439,400.933525864,399.614153803,404.574816862,405.412209782,403.968355815,405.348103024,407.067859815,404.648669387,401.596375596,404.073712158,399.240036011,ADM2,LBR_ADM2_1_3_3_26,Doe,ADM2,2,26,LBR,26
27,399.392181979,400.348551432,398.163703304,403.251751072,403.802371782,402.640951192,405.424228323,405.637109484,404.973038867,400.287142188,400.996608075,399.705950419,ADM2,LBR_ADM2_1_3_3_27,Doedain,ADM2,2,27,LBR,27
28,398.933270494,399.055480004,398.688658398,403.917612106,404.214628658,403.681606265,404.855994209,405.672745768,403.589516703,402.041298543,402.429068887,401.300613958,ADM2,LBR_ADM2_1_3_3_28,Dorbor,ADM2,2,28,LBR,28
29,399.734265408,400.27440917,398.012771606,406.949799705,407.414529723,406.540918389,406.789514448,407.231445312,405.74520874,404.360410434,404.911762238,403.584063444,ADM2,LBR_ADM2_1_3_3_29,Dowein,ADM2,2,29,LBR,29
30,399.714601074,400.24916687,399.407925724,403.5572009,404.455575125,402.86271238,408.122335703,409.496948242,406.662786865,403.48759117,403.945135934,402.888930236,ADM2,LBR_ADM2_1_3_3_30,Dugbe River,ADM2,2,30,LBR,30
31,398.551584166,398.695846341,398.51602951,404.054718974,404.110413502,403.863262601,403.952883606,404.236468962,403.589516703,401.622791875,401.743307865,401.370600845,ADM2,LBR_ADM2_1_3_3_31,Dweh,ADM2,2,31,LBR,31
32,399.111046503,399.248473562,398.854099342,404.412391431,404.543338424,404.032972322,406.166503283,406.675441487,405.076190185,402.39997205,402.818329135,401.689874206,ADM2,LBR_ADM2_1_3_3_32,Felo-Jekwi,ADM2,2,32,LBR,32
33,402.978668551,403.8420283,402.300845442,402.836113317,404.083335877,402.3074646,405.889529748,406.017995017,405.772859301,401.727337387,402.047991538,401.43521265,ADM2,LBR_ADM2_1_3_3_33,Fen River,ADM2,2,33,LBR,33
