asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,398.204620362,398.204620362,398.204620362,404.400014528,404.400014528,404.400014528,405.225920025,405.225920025,405.225920025,402.435653868,402.435653868,402.435653868,ADM4,MDG_ADM4_1_3_3_0,Ampasina,ADM4,4,0,MDG,0
1,398.204620362,398.204620362,398.204620362,404.400014528,404.400014528,404.400014528,405.225920025,405.225920025,405.225920025,402.435653868,402.435653868,402.435653868,ADM4,MDG_ADM4_1_3_3_1,Antanifotsy,ADM4,4,1,MDG,1
2,397.751436042,398.138818985,397.652575175,402.5523829,402.783419483,402.369870606,406.05278061,406.482247604,405.902247598,401.585944395,401.705553139,401.357834665,ADM4,MDG_ADM4_1_3_3_2,Amboloando,ADM4,4,2,MDG,2
3,397.843869859,398.04511915,397.730740865,403.101951242,403.385489654,402.743154173,405.715623334,406.351331485,405.633203479,401.901052631,402.186250644,401.226360357,ADM4,MDG_ADM4_1_3_3_3,Vatambe Nanarena,ADM4,4,3,MDG,3
4,397.938782302,398.119666205,397.730740865,403.093053785,403.385489654,402.76623289,405.709224439,405.792158663,405.633203479,401.746085826,402.41961191,401.226360357,ADM4,MDG_ADM4_1_3_3_4,Vohimary,ADM4,4,4,MDG,4
5,397.99224786,398.119666205,397.652575175,402.986162473,403.208779907,402.453396607,405.814110042,406.010024626,405.739944237,401.655540463,401.924533662,401.459084792,ADM4,MDG_ADM4_1_3_3_5,Andiolava,ADM4,4,5,MDG,5
6,397.665883268,397.925203535,397.652575175,402.56971868,403.208779907,402.536922607,405.894324914,405.902247598,405.739944237,401.693522022,401.705553139,401.459084792,ADM4,MDG_ADM4_1_3_3_6,Ankazoabokely,ADM4,4,6,MDG,6
7,397.860876051,398.138818985,397.652575175,402.493519828,403.03207016,402.369870606,406.01437193,406.117801655,405.792158663,401.662744833,401.924533662,401.608568977,ADM4,MDG_ADM4_1_3_3_7,Ambatofotsy,ADM4,4,7,MDG,7
8,397.776238247,398.043962341,397.678469147,402.708848068,402.783419483,402.509011527,406.354726084,406.836636513,406.120113561,401.395578377,401.428726678,401.347059123,ADM4,MDG_ADM4_1_3_3_8,Ambondrobe,ADM4,4,8,MDG,8
9,398.390751848,399.59320795,397.975732422,403.134074425,403.682006836,402.992527262,405.542838443,406.364486694,404.735682896,401.39432933,401.923752425,399.805184666,ADM4,MDG_ADM4_1_3_3_9,Ambodimanga Seranana,ADM4,4,9,MDG,9
