asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,400.886867856,401.046931752,400.604525992,402.50353404,403.744067783,401.53994751,404.637082542,406.67988205,403.414276123,400.584666864,401.601108435,399.578717913,ADM2,MWI_ADM2_1_3_3_0,Likoma,ADM2,2,0,MWI,MW-LK,0
1,399.744118661,401.686309814,397.408432007,405.107508083,407.684394837,402.8840768,407.196706368,409.332275391,406.115975698,403.307681647,406.493530273,399.217265828,ADM2,MWI_ADM2_1_3_3_1,Rumphi,ADM2,2,1,MWI,MW-RU,1
2,399.999817985,400.866577148,398.331315994,405.333001548,408.440307617,403.625480652,407.103074737,408.490592931,405.193187169,402.56350128,403.979122522,399.261627197,ADM2,MWI_ADM2_1_3_3_2,Chitipa,ADM2,2,2,MWI,MW-CT,2
3,400.534988359,401.795501709,398.583051124,405.721544767,407.973007202,403.525073874,407.835950393,408.83068339,406.74698312,403.339070442,405.95916748,399.261627197,ADM2,MWI_ADM2_1_3_3_3,Karonga,ADM2,2,3,MWI,MW-KR,3
4,399.787153525,401.314741257,397.953528067,405.16435546,406.968510437,402.876391497,407.671075813,409.332275391,405.696125903,403.496744654,404.566218983,402.191757647,ADM2,MWI_ADM2_1_3_3_4,Nkhata Bay,ADM2,2,4,MWI,MW-NB,4
5,398.533848327,400.558421888,396.814305623,403.771913708,406.81304423,401.244873047,406.329351297,408.947990963,404.304559496,402.421865381,406.493530273,395.823272705,ADM2,MWI_ADM2_1_3_3_5,Mzimba,ADM2,2,5,MWI,MW-MZ,5
6,400.165205969,401.196234131,398.317169894,404.936546953,406.645584106,402.847971598,407.205818411,408.698028565,405.481413704,402.768296796,405.87008667,400.516418457,ADM2,MWI_ADM2_1_3_3_6,Nkhotakota,ADM2,2,6,MWI,MW-NK,6
7,401.065925993,402.635742188,399.571099822,406.303612361,409.217453003,404.374052088,407.03008578,408.446891288,405.37485364,405.039285611,407.575592041,403.465327454,ADM2,MWI_ADM2_1_3_3_7,Ntcheu,ADM2,2,7,MWI,MW-NU,7
8,399.707667808,401.149993897,397.242181158,404.242896289,408.055603027,401.671081543,406.864920522,409.420440674,404.750724174,403.543506242,407.575592041,400.655444601,ADM2,MWI_ADM2_1_3_3_8,Dedza,ADM2,2,8,MWI,MW-DE,8
9,399.124936685,401.104139201,394.781411308,402.813250675,406.834259033,397.873535156,405.397067395,406.97404853,403.022258759,402.193243418,404.350265503,400.269377532,ADM2,MWI_ADM2_1_3_3_9,Lilongwe,ADM2,2,9,MWI,MW-LI,9
10,400.615413361,401.501515706,399.74404861,405.874122718,407.078335646,403.571097819,407.705801454,409.420440674,406.237191162,403.990801785,405.82603564,402.554385037,ADM2,MWI_ADM2_1_3_3_10,Salima,ADM2,2,10,MWI,MW-SA,10
