asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,400.914495158,403.407064528,399.273508677,407.083367434,407.710657755,406.737142947,409.481952569,410.230948708,409.001799583,404.813666454,406.953641256,400.236475165,ADM3,MLI_ADM3_1_3_3_0,Tomora,ADM3,3,0,MLI,0
1,400.353154122,401.269561768,399.659585212,407.446110556,407.710657755,407.124258265,409.221848584,409.663181152,408.754508972,405.600375247,406.204101562,404.57109399,ADM3,MLI_ADM3_1_3_3_1,Sidibela,ADM3,3,1,MLI,1
2,400.756013093,401.026064918,400.052554529,407.409942656,408.348033523,406.83505249,407.602049712,408.155268203,407.09262085,405.830294032,408.041211764,404.000705242,ADM3,MLI_ADM3_1_3_3_2,Niambia,ADM3,3,2,MLI,2
3,402.527603623,403.649056522,401.06649911,406.868037608,407.136602157,406.501057943,409.492551992,409.860222556,409.017646789,403.276962904,404.613092161,400.723454454,ADM3,MLI_ADM3_1_3_3_3,Kontela,ADM3,3,3,MLI,3
4,401.425662556,402.67297339,400.745762496,406.632954769,406.818278457,406.423820033,408.974032549,409.564240536,408.388595581,401.682258373,403.955215454,400.080932617,ADM3,MLI_ADM3_1_3_3_4,Diallan,ADM3,3,4,MLI,4
5,400.08527613,400.998165581,398.501355608,406.869542685,407.571467631,406.431723022,409.75809046,410.230948708,409.000186157,403.199422874,406.953641256,400.080932617,ADM3,MLI_ADM3_1_3_3_5,Diakon,ADM3,3,5,MLI,5
6,401.216912979,404.257781982,400.186368815,407.485597481,408.306741333,406.867360155,408.761997777,409.361373967,408.142260916,404.904181216,405.89302806,404.331784276,ADM3,MLI_ADM3_1_3_3_6,Bafoulabe,ADM3,3,6,MLI,6
7,401.119714208,401.665116755,399.805559125,408.054064282,409.035177612,407.450134277,407.532594454,408.883172607,406.813116108,408.537216333,409.966861753,407.376641167,ADM3,MLI_ADM3_1_3_3_7,Sitakily,ADM3,3,7,MLI,7
8,402.849857955,404.554794312,399.906402588,407.930792259,409.449172974,407.430221558,409.318817541,411.457122803,408.097750312,404.760792745,405.511874164,403.757772446,ADM3,MLI_ADM3_1_3_3_8,Sagalo,ADM3,3,8,MLI,8
9,401.521865664,401.829450617,401.415053205,408.156857304,408.49697876,407.674543901,410.109297072,411.321736654,408.914362662,405.899782598,406.662253382,405.18980339,ADM3,MLI_ADM3_1_3_3_9,Guenegore,ADM3,3,9,MLI,9
10,401.694623671,402.547576904,401.000560303,407.89872708,408.528442383,406.921878815,410.141218568,412.151275635,407.183362688,405.296598035,407.501151865,403.145076497,ADM3,MLI_ADM3_1_3_3_10,Baye,ADM3,3,10,MLI,10
11,400.218698707,400.364839442,400.150195233,407.176587122,407.206049328,407.11373442,407.645690752,407.741760254,407.440742493,403.609913395,403.654403687,403.515000777,ADM3,MLI_ADM3_1_3_3_11,Kita Commune,ADM3,3,11,MLI,11
12,401.757958131,402.12152096,401.483727445,405.829746301,407.158874512,405.326100667,407.403591016,407.621994068,407.102750651,405.115023699,406.681908925,403.375685748,ADM3,MLI_ADM3_1_3_3_12,Niantanso,ADM3,3,12,MLI,12
13,399.844740539,402.619276047,396.687733968,404.932545637,406.889108994,404.011659963,408.609681818,409.435499906,403.114257118,402.890921576,405.694746094,401.190662929,ADM3,MLI_ADM3_1_3_3_13,Sobra,ADM3,3,13,MLI,13
14,399.178945317,401.337464909,396.861400604,405.946418216,406.903375361,403.998344034,406.25723103,409.201843262,401.077728272,405.095349723,406.818675648,403.123075099,ADM3,MLI_ADM3_1_3_3_14,Makano,ADM3,3,14,MLI,14
15,399.777986906,402.619276047,396.327612447,404.493093695,408.225035015,402.835601807,408.470987635,409.223843661,405.150785966,402.682182342,404.122257233,401.153019832,ADM3,MLI_ADM3_1_3_3_15,Bossofala,ADM3,3,15,MLI,15
16,399.966508702,400.385797117,399.464574814,406.46742475,406.680475871,405.602296309,408.858892705,409.618878174,408.48276435,401.408703057,403.915802002,399.519753592,ADM3,MLI_ADM3_1_3_3_16,Mountougoula,ADM3,3,16,MLI,16
17,400.901858922,401.195699758,400.30865779,406.348219196,406.619674683,405.457919312,408.910278697,410.475332937,407.865502358,402.064696707,403.915802002,399.086095174,ADM3,MLI_ADM3_1_3_3_17,N'gouraba,ADM3,3,17,MLI,17
18,401.242037665,403.201782227,399.13684082,407.301711375,408.151922373,406.405700684,408.886193627,409.224764324,408.785389473,404.979959067,405.957683818,404.151082108,ADM3,MLI_ADM3_1_3_3_18,Tiemala Banimonotie,ADM3,3,18,MLI,18
19,401.670018651,402.193346006,400.798414594,404.061645684,404.765188217,402.294372559,407.528887257,408.593225605,407.082373725,398.490567966,399.411201327,397.994508706,ADM3,MLI_ADM3_1_3_3_19,Tougouni,ADM3,3,19,MLI,19
20,401.283062744,402.173109575,400.611451407,403.380521904,404.765188217,402.294372559,407.694375282,408.593225605,407.205434408,399.131353744,400.046171749,398.311993917,ADM3,MLI_ADM3_1_3_3_20,Dinandougou,ADM3,3,20,MLI,20
21,400.145913668,402.224910389,398.660686292,405.242265736,407.352001426,404.31331968,407.877400429,408.566009521,407.308038641,400.11121326,401.772355696,399.093716116,ADM3,MLI_ADM3_1_3_3_21,Boidie,ADM3,3,21,MLI,21
22,400.427530986,402.413360596,398.737410112,405.068753771,406.337426249,404.022640483,407.779795064,408.546220518,407.061960557,399.469932575,400.298056406,398.568670364,ADM3,MLI_ADM3_1_3_3_22,Nyamina,ADM3,3,22,MLI,22
23,399.230591571,400.176776886,398.660686292,405.597430478,406.368298086,405.216813561,408.117395504,408.526885407,407.759368472,400.116986676,400.665154401,399.47891206,ADM3,MLI_ADM3_1_3_3_23,Tamani,ADM3,3,23,MLI,23
24,400.434434643,400.795051812,400.056201935,407.311350683,407.566423896,404.791356286,410.116998179,410.622161865,409.253585289,400.637398753,404.655877008,398.141845703,ADM3,MLI_ADM3_1_3_3_24,Gadougou 1,ADM3,3,24,MLI,24
25,401.502044203,402.316227692,399.871938995,406.478802779,406.824689633,406.163460356,408.949126817,410.279893494,408.039012451,403.986669653,405.300608317,402.731584821,ADM3,MLI_ADM3_1_3_3_25,Djougoun,ADM3,3,25,MLI,25
26,400.111585241,400.440999031,400.031070709,407.160875961,407.339008882,406.956014216,409.81400299,410.622161865,408.558131131,400.699590135,402.823579618,398.594177246,ADM3,MLI_ADM3_1_3_3_26,Bougarybaya,ADM3,3,26,MLI,26
27,399.986344893,400.613726807,398.913861085,407.368561637,407.489213299,407.206049328,409.05501422,409.684372411,407.681050618,403.319513353,403.654403687,403.076568604,ADM3,MLI_ADM3_1_3_3_27,Badia,ADM3,3,27,MLI,27
28,400.3756396,401.594991684,399.831593831,405.569095447,407.204802246,404.816605179,407.419499463,407.482091413,407.383727441,403.812644954,404.509294298,402.879659615,ADM3,MLI_ADM3_1_3_3_28,Fegui,ADM3,3,28,MLI,28
29,400.514341082,400.514341082,400.514341082,406.836560059,406.836560059,406.836560059,408.866978236,408.866978236,408.866978236,402.953349935,402.953349935,402.953349935,ADM3,MLI_ADM3_1_3_3_29,Kayes Commune,ADM3,3,29,MLI,29
30,399.919095135,400.231627026,399.65076451,405.343841394,406.053001186,403.51550293,407.315930852,407.383727441,407.178464081,403.999794735,404.509294298,403.787261963,ADM3,MLI_ADM3_1_3_3_30,Tafacirga,ADM3,3,30,MLI,30
31,400.525886718,402.527862549,397.376922607,407.415849028,408.368052164,406.591331845,408.854983728,410.587020874,408.118783569,403.8522109,404.444512261,403.43137574,ADM3,MLI_ADM3_1_3_3_31,Sero Diamanou,ADM3,3,31,MLI,31
32,401.14697402,402.527862549,400.31528826,407.585673174,408.368052164,406.591331845,408.744108919,409.433690593,408.208097912,405.168790161,406.503738403,403.455331737,ADM3,MLI_ADM3_1_3_3_32,Segala,ADM3,3,32,MLI,32
33,400.697671932,401.362672806,400.126831055,406.598708546,406.659051666,406.375156757,408.728997886,409.966711426,407.034296808,403.269633107,403.713128856,402.084838867,ADM3,MLI_ADM3_1_3_3_33,Sahel,ADM3,3,33,MLI,33
34,400.892313465,402.867553711,399.541321445,407.539179241,409.741531372,404.926224191,407.794870646,410.950639725,405.311096192,403.679024421,407.373842239,401.199586487,ADM3,MLI_ADM3_1_3_3_34,Sadiola,ADM3,3,34,MLI,34
35,400.365460696,400.752383813,400.142177381,407.629880667,407.825667046,407.194047553,408.314004034,409.202209473,407.380502042,404.369365609,405.332310914,403.478373334,ADM3,MLI_ADM3_1_3_3_35,Logo,ADM3,3,35,MLI,35
36,400.79892554,402.591201782,397.597991944,406.964634795,407.727600098,406.613858371,409.440285933,411.805709839,407.93836274,403.592374389,404.349149507,402.084838867,ADM3,MLI_ADM3_1_3_3_36,Koussane,ADM3,3,36,MLI,36
37,400.345735375,400.57858069,400.142177381,407.684611177,407.84558888,406.836560059,408.238890437,409.202209473,407.380502042,403.653427391,404.298854143,402.953349935,ADM3,MLI_ADM3_1_3_3_37,Hawa Dembaya,ADM3,3,37,MLI,37
38,401.950413662,402.753295899,399.868237305,406.02313549,407.3170378,404.816605179,407.448673134,407.52850974,407.31748207,402.216711368,403.778996885,401.199586487,ADM3,MLI_ADM3_1_3_3_38,Faleme,ADM3,3,38,MLI,38
39,399.99547888,400.307770094,399.52399936,406.77832804,407.029029615,406.468796324,408.235100471,411.75479126,406.641653082,402.499979661,403.544188001,401.48292923,ADM3,MLI_ADM3_1_3_3_39,Djelebou,ADM3,3,39,MLI,39
40,400.46410035,401.506398519,399.357879639,407.431971136,407.786131668,407.068456476,408.011202745,408.705153693,407.343715344,404.627382646,406.503738403,403.525928995,ADM3,MLI_ADM3_1_3_3_40,Diamou,ADM3,3,40,MLI,40
41,396.030508048,397.997563268,393.673740974,406.621970974,408.225035015,403.773498535,408.567184966,408.7078295,408.321402334,401.085797287,402.632825999,399.307748159,ADM3,MLI_ADM3_1_3_3_41,N'tjiba,ADM3,3,41,MLI,41
42,397.033569265,398.645821667,395.020364625,404.228008506,408.140405508,402.739828491,408.522126089,408.997198486,408.176669651,401.368473703,403.362698188,399.649016943,ADM3,MLI_ADM3_1_3_3_42,Kotouba,ADM3,3,42,MLI,42
43,395.089136026,398.645821667,393.673740974,406.936305722,408.216752794,403.773498535,408.587628415,408.768420467,408.315460205,400.256545584,401.425236596,399.307748159,ADM3,MLI_ADM3_1_3_3_43,Daban,ADM3,3,43,MLI,43
44,398.967844279,400.377576928,395.731831477,404.677135394,406.080708822,403.172542996,407.693540999,409.201843262,402.418640138,404.162185746,406.052352906,401.23459657,ADM3,MLI_ADM3_1_3_3_44,Kassaro,ADM3,3,44,MLI,44
45,402.47993576,405.032470703,400.949920654,406.791902938,407.120578148,406.25339681,408.721075684,408.901608276,408.608186044,404.501421552,405.105862873,403.199800234,ADM3,MLI_ADM3_1_3_3_45,Bougouni Commune,ADM3,3,45,MLI,45
46,399.478967556,400.393077259,398.737410112,406.676338103,408.502258301,405.275494385,408.233788953,408.856643676,405.51815033,400.49855702,401.344697377,399.797509413,ADM3,MLI_ADM3_1_3_3_46,Souba,ADM3,3,46,MLI,46
47,399.498347045,399.842606793,399.156105664,405.907375673,406.368298086,405.403783625,408.251746519,408.526885407,407.985033388,400.583180663,400.982639612,400.192923527,ADM3,MLI_ADM3_1_3_3_47,Somo,ADM3,3,47,MLI,47
48,401.584262734,404.31340332,400.049559373,406.06175383,406.769756063,405.348632812,408.628020935,408.840733578,408.494610901,403.698229799,404.559179235,402.646933618,ADM3,MLI_ADM3_1_3_3_48,Sido,ADM3,3,48,MLI,48
49,399.334706858,400.124481201,397.945922852,405.94723814,406.524874819,405.059310913,407.569364906,408.076712375,407.006455033,403.478094014,403.684490003,403.306480331,ADM3,MLI_ADM3_1_3_3_49,Nongo-Souala,ADM3,3,49,MLI,49
