asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,gqid
0,397.897444363,401.395050049,394.476397705,403.914909125,409.371856689,400.071838379,407.576687475,410.728393554,404.563754272,403.314900715,405.332930545,400.168782552,ADM2,MAR_ADM2_1_3_3_0,Province de Khémisset إقليم الخميسات,ADM2,2,0,MAR,0
1,401.246209738,403.363485483,398.085830688,405.66128808,406.505382831,404.844482422,406.228102675,408.569514178,403.573492802,403.961491773,405.494873047,401.670220947,ADM2,MAR_ADM2_1_3_3_1,Rhamna Province,ADM2,2,1,MAR,1
2,398.856665617,401.310600281,396.397384644,403.21121312,406.017158152,399.870803833,406.559619969,408.852111816,404.114349365,402.104777647,403.197985614,401.582928316,ADM2,MAR_ADM2_1_3_3_2,Province de Sidi Slimane إقليم سيدي سليمان,ADM2,2,2,MAR,2
3,398.930973602,401.095848083,395.926331954,404.764969113,408.867499458,399.870803833,406.316712523,410.015936279,403.601053874,403.308244571,406.140863037,400.794854906,ADM2,MAR_ADM2_1_3_3_3,Province de Kenitra إقليم القنيطرة,ADM2,2,3,MAR,3
4,399.328210186,404.684692382,395.302124023,405.587393754,408.673553467,399.250213623,406.994701751,409.678220113,403.497131348,402.804451386,407.484771729,399.770495605,ADM2,MAR_ADM2_1_3_3_4,Taroudant Province,ADM2,2,4,MAR,4
5,398.873311846,401.060775757,396.763488025,405.677381037,407.336496989,404.611197677,407.704064742,410.480196272,405.452713475,402.512808492,405.346006121,399.983846029,ADM2,MAR_ADM2_1_3_3_5,Sidi Ifni Province,ADM2,2,5,MAR,5
6,399.981848205,403.580608368,397.586354573,405.802575174,410.917785645,401.497177124,407.338451379,411.140672163,403.686455622,403.107117105,406.683710733,400.125198365,ADM2,MAR_ADM2_1_3_3_6,Tata Province,ADM2,2,6,MAR,6
7,399.391505609,404.941314697,396.477848054,404.806490466,408.140411376,402.283784231,407.031984933,410.704742432,404.242895508,403.316154446,407.717549642,400.075765676,ADM2,MAR_ADM2_1_3_3_7,Province d'Errachidia إقليم الرشيدية,ADM2,2,7,MAR,7
8,399.152506923,401.879348755,395.629044383,405.698638848,409.11984253,402.285327976,406.71142174,411.226208496,402.701069832,402.645921626,406.458282471,399.361002305,ADM2,MAR_ADM2_1_3_3_8,Boujdour Province,ADM2,2,8,MAR,8
9,400.594969527,402.38435922,398.223266602,405.767338826,408.417175293,402.39859375,407.204398247,408.742706299,405.100585938,402.563181842,407.064839681,399.497828166,ADM2,MAR_ADM2_1_3_3_9,Province de Safi إقليم أسفي,ADM2,2,9,MAR,9
10,400.167883059,401.508924597,398.538248698,405.572201557,406.129173787,403.156778643,406.791446535,408.08190046,405.102157593,402.375069624,404.041900635,400.743174235,ADM2,MAR_ADM2_1_3_3_10,Province de Youssoufia إقليم اليوسفية,ADM2,2,10,MAR,10
11,401.135476174,406.093688965,394.588714601,406.455421316,407.54448876,404.448052368,406.674624416,409.340816931,403.933276008,403.504240842,405.021217855,400.085292816,ADM2,MAR_ADM2_1_3_3_11,Province de Moulay Yacoub إقليم مولاي يعقوب,ADM2,2,11,MAR,11
12,400.680094281,402.999237061,396.476450602,405.962141329,407.410697937,403.710540771,406.606994557,410.096110535,403.768634251,403.118799647,407.876235962,400.674436681,ADM2,MAR_ADM2_1_3_3_12,Province de Nador إقليم الناظور,ADM2,2,12,MAR,12
13,399.195777053,402.236335754,395.930969238,405.597844508,407.466057089,402.055956718,406.596551597,408.814849853,402.301864624,401.698004935,404.560311797,396.874023439,ADM2,MAR_ADM2_1_3_3_13,Chefchaouen Province,ADM2,2,13,MAR,13
14,397.219827092,401.395050049,394.350094526,404.955306869,406.290747991,403.59569486,406.330326966,407.985493053,404.154025269,403.877665995,404.524759813,402.754379272,ADM2,MAR_ADM2_1_3_3_14,Préfecture de Skhirate-Témara عمالة الصخيرات-تمارة,ADM2,2,14,MAR,14
15,398.76952627,402.909772006,396.330666265,405.067817251,407.713075337,402.651116507,406.632544204,410.385437012,404.647152129,402.717021912,404.841158912,398.760543097,ADM2,MAR_ADM2_1_3_3_15,Settat Province,ADM2,2,15,MAR,15
16,399.105231618,401.546274821,396.466674805,406.124467082,407.531921387,402.513549805,406.951217964,409.678220113,404.335327149,402.021555034,406.189239502,399.465626803,ADM2,MAR_ADM2_1_3_3_16,Chtouka-Ait Baha Province,ADM2,2,16,MAR,16
17,400.121630879,402.008453369,397.637634277,404.727213275,409.940429687,403.208953857,406.035357739,408.834304809,403.785762242,402.37266719,404.956329346,399.949749571,ADM2,MAR_ADM2_1_3_3_17,Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,ADM2,2,17,MAR,17
18,399.965506063,401.660257513,398.355371094,406.195359546,408.96270752,403.832809448,407.953985755,408.942436726,404.335754395,404.611543002,407.779907227,398.959869386,ADM2,MAR_ADM2_1_3_3_18,Province de Taza اقليم تازة,ADM2,2,18,MAR,18
19,398.199253363,400.536102295,395.514068604,406.604368018,408.042082321,403.55242048,407.398867638,409.335573084,405.063988899,403.524376752,404.571269444,402.157010033,ADM2,MAR_ADM2_1_3_3_19,Province d'Ouezzane إقليم وزان,ADM2,2,19,MAR,19
20,400.211384672,402.008453369,397.637634277,404.745609978,409.940429687,402.787839355,406.59470032,408.834304809,404.154754639,402.588508953,405.154806657,400.152820841,ADM2,MAR_ADM2_1_3_3_20,Fahs-Anjra Province,ADM2,2,20,MAR,20
21,399.809969307,402.047648112,395.930969238,405.728384604,408.541610718,402.667205811,406.995408081,409.048468017,403.793790818,404.3288001,406.648284912,399.829421997,ADM2,MAR_ADM2_1_3_3_21,Al Hoceima Province,ADM2,2,21,MAR,21
22,398.992825841,401.494791667,394.350094526,404.372129353,406.664945068,403.454508314,407.034742642,408.210673015,404.692466942,402.523813492,404.247748965,398.952593849,ADM2,MAR_ADM2_1_3_3_22,Province de Benslimane إقليم بن سليمان,ADM2,2,22,MAR,22
23,399.896662213,404.10309855,395.955230713,405.865966536,408.405506335,404.209538051,407.465013605,411.485321045,402.620875767,402.09353002,404.364044189,399.21174887,ADM2,MAR_ADM2_1_3_3_23,Tarfaya Province,ADM2,2,23,MAR,23
24,399.859604095,404.164807129,396.800102888,405.349454289,408.742930094,402.260418285,406.58741348,409.502075195,404.033828735,402.553287941,406.689910889,398.506393432,ADM2,MAR_ADM2_1_3_3_24,Province de Figuig إقليم الناظور,ADM2,2,24,MAR,24
