asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,398.506176642,399.823547363,396.485168457,403.842760772,405.04816541,401.638710304,405.959318051,407.501483624,401.9458313,402.162573115,404.214436849,401.175143433,ADM3,MOZ_ADM3_1_3_3_0,Ancuabe,ADM3,3,0,MOZ,0
1,399.201189317,400.429658513,396.380706787,404.276489522,404.889837646,403.599349976,405.895751265,407.252058919,402.689346313,402.040136016,403.392471313,401.589640299,ADM3,MOZ_ADM3_1_3_3_1,Chiure,ADM3,3,1,MOZ,1
2,399.842659332,401.301423419,397.150672813,404.643347006,405.30362175,402.968414307,406.09711857,407.464599609,401.9458313,402.561532252,404.857778025,401.584552765,ADM3,MOZ_ADM3_1_3_3_2,Metoro,ADM3,3,2,MOZ,2
3,399.326296147,401.150966099,397.95904541,404.850575398,406.587243216,403.72704626,406.406677682,407.464599609,404.37512207,403.490895112,404.567932129,401.985558404,ADM3,MOZ_ADM3_1_3_3_3,Mesa,ADM3,3,3,MOZ,3
4,401.105565515,401.301423419,400.514050331,404.784173569,405.704095459,403.787534689,406.505907101,406.934057326,405.93716253,403.287428431,405.43389166,402.243291115,ADM3,MOZ_ADM3_1_3_3_4,Murrebue,ADM3,3,4,MOZ,4
5,397.754207797,399.113876342,397.117361215,405.195090189,406.467106411,404.180273873,408.177704738,409.510312167,407.160589045,403.687689409,405.780487061,402.49461566,ADM3,MOZ_ADM3_1_3_3_5,Balama,ADM3,3,5,MOZ,5
6,400.334653396,402.751750745,397.117361215,403.664912716,405.765930176,402.667662726,406.878603134,410.037322997,405.649063483,401.975544899,404.092407227,400.484283447,ADM3,MOZ_ADM3_1_3_3_6,Impiri,ADM3,3,6,MOZ,6
7,399.667893104,403.840454102,396.907298901,403.597029942,405.999655587,401.177930559,406.244636093,408.438801158,404.850983439,401.792930474,404.655100505,397.123382569,ADM3,MOZ_ADM3_1_3_3_7,Kuekue,ADM3,3,7,MOZ,7
8,398.684227635,402.751750745,397.5151171,404.152098184,405.765681217,403.247997577,406.234214426,410.037322997,403.691589356,403.315992508,404.488233624,402.307283842,ADM3,MOZ_ADM3_1_3_3_8,Mavala,ADM3,3,8,MOZ,8
9,401.034804538,401.683244978,399.31103007,403.247685831,404.889837646,402.122596741,406.052243236,407.252058919,405.448397391,401.768537327,402.306203206,400.340942383,ADM3,MOZ_ADM3_1_3_3_9,Chiure Velho,ADM3,3,9,MOZ,9
10,399.018928391,401.383330374,396.380706787,404.993092444,405.959416316,404.011006674,405.724813017,406.556425615,402.689346313,403.42497092,405.51701355,401.589640299,ADM3,MOZ_ADM3_1_3_3_10,Katapua,ADM3,3,10,MOZ,10
11,401.535329008,402.009390695,400.821293654,403.772866119,405.165993221,403.023283096,405.966625372,406.974847638,405.517596145,402.236763524,403.172487073,401.850797038,ADM3,MOZ_ADM3_1_3_3_11,Mazeze,ADM3,3,11,MOZ,11
12,400.579331579,403.33732605,398.321461995,404.646958995,405.338323381,404.47744751,406.413021523,406.820210424,405.921496921,404.364275198,405.444519043,403.116569519,ADM3,MOZ_ADM3_1_3_3_12,Namogelia,ADM3,3,12,MOZ,12
13,398.799886396,401.19393606,396.380706787,404.030620385,404.799134149,402.484244937,406.179872325,407.10533796,402.689346313,401.816921334,404.337438965,398.575134277,ADM3,MOZ_ADM3_1_3_3_13,Ocua,ADM3,3,13,MOZ,13
14,400.472823601,402.174235026,399.577864937,404.477442646,405.012481689,403.728027344,405.865357843,406.48316644,405.471266565,403.194483994,403.870611863,402.587597656,ADM3,MOZ_ADM3_1_3_3_14,Chai,ADM3,3,14,MOZ,14
15,401.345637799,402.21657308,399.780090332,404.438560411,405.153064474,403.484961955,406.35182842,406.977244314,405.784036128,402.662882119,403.269985351,402.04361904,ADM3,MOZ_ADM3_1_3_3_15,Macomia,ADM3,3,15,MOZ,15
16,400.655774071,402.131896973,399.724145788,403.870854404,405.346041362,401.064319318,405.590648843,406.008311736,405.212121582,403.098124442,403.869344075,402.090332031,ADM3,MOZ_ADM3_1_3_3_16,Mucojo,ADM3,3,16,MOZ,16
17,400.100330189,400.774642944,399.687951385,403.55017249,403.884802246,402.902950091,405.704364669,406.267822992,405.361057281,403.605388562,404.089282566,402.922037539,ADM3,MOZ_ADM3_1_3_3_17,Ibo,ADM3,3,17,MOZ,17
18,399.654762688,399.938416206,399.560211521,403.476589535,403.685605563,403.406917529,405.092141461,405.659932454,404.902877808,403.127162034,403.195536861,402.922037539,ADM3,MOZ_ADM3_1_3_3_18,Quirimba,ADM3,3,18,MOZ,18
19,400.288275026,401.028492803,399.904912676,404.809415208,405.257629395,403.685605563,405.888372568,406.17084374,405.361057281,402.898261785,403.549546947,402.572577427,ADM3,MOZ_ADM3_1_3_3_19,Quissanga,ADM3,3,19,MOZ,19
20,400.01412879,400.446517097,398.589797939,403.737654258,405.012481689,402.748793382,405.626034235,406.077504158,404.829574343,403.91798756,404.391143799,401.848790995,ADM3,MOZ_ADM3_1_3_3_20,Quiterajo,ADM3,3,20,MOZ,20
21,401.254774215,402.009390695,400.96062625,403.886389762,404.824655806,403.598473685,406.083331673,406.697636357,405.586794899,402.369753766,402.93734654,402.085547567,ADM3,MOZ_ADM3_1_3_3_21,Mecufi,ADM3,3,21,MOZ,21
22,400.053511487,402.21657308,398.456100464,404.384864858,404.812355041,403.652428763,406.528256411,406.906309127,406.148516972,402.275729323,402.57684021,401.634508589,ADM3,MOZ_ADM3_1_3_3_22,Muaguide,ADM3,3,22,MOZ,22
23,399.31331608,399.789067697,398.736937877,403.260502964,404.599929711,401.350423584,405.914649947,407.413607666,404.562269974,401.586982276,403.879458164,400.168139677,ADM3,MOZ_ADM3_1_3_3_23,Diaca,ADM3,3,23,MOZ,23
24,399.743012367,400.446517097,398.983394224,402.873738089,404.796875,400.930137634,405.699480907,406.30175165,405.396802425,401.718712213,404.391143799,399.914459229,ADM3,MOZ_ADM3_1_3_3_24,Mbau,ADM3,3,24,MOZ,24
25,399.600209779,399.987966538,398.796227301,403.677264603,406.004030116,400.930137634,407.004214553,407.717182506,404.687539486,403.356062283,404.859466553,399.914459229,ADM3,MOZ_ADM3_1_3_3_25,Mocimboa Da Praia,ADM3,3,25,MOZ,25
26,401.3736881,404.654785156,398.703992181,406.919207424,408.95602417,404.207787831,406.455142232,408.465035178,404.297577922,404.282672551,405.348190307,402.891581218,ADM3,MOZ_ADM3_1_3_3_26,Mirate,ADM3,3,26,MOZ,26
27,398.744892055,400.575902303,397.612976074,405.583647568,407.243130332,404.385099057,406.767054838,407.938024347,406.090555364,404.218455159,405.51701355,402.852386475,ADM3,MOZ_ADM3_1_3_3_27,Montepuez,ADM3,3,27,MOZ,27
28,398.390949068,399.308710271,397.612976074,405.271543397,406.700831822,404.207787831,407.395593466,408.465035178,406.443333943,403.908687351,406.343180339,403.056611113,ADM3,MOZ_ADM3_1_3_3_28,Mapupulo,ADM3,3,28,MOZ,28
29,401.027103542,404.654785156,397.5151171,405.336672724,407.965164185,400.96105957,406.312520772,407.445374922,402.57631429,403.846722747,406.018157958,398.534057617,ADM3,MOZ_ADM3_1_3_3_29,Nairoto,ADM3,3,29,MOZ,29
30,399.440641025,401.306915283,398.215674506,405.51405309,406.994754676,404.385099057,406.339966274,406.892747359,406.084964328,404.552576845,405.172302247,403.596024022,ADM3,MOZ_ADM3_1_3_3_30,Namanhumbir,ADM3,3,30,MOZ,30
31,400.191085461,402.470486369,398.963806152,404.385935904,406.032913308,401.338134766,406.86978436,407.537636567,405.192492033,402.635161971,405.010467529,399.027618409,ADM3,MOZ_ADM3_1_3_3_31,Chapa,ADM3,3,31,MOZ,31
32,398.815609274,399.568340847,398.243259777,403.621280023,404.34011359,402.611281433,405.168251658,406.7784729,404.003860092,401.38033716,401.919441385,400.929181022,ADM3,MOZ_ADM3_1_3_3_32,Imbuo,ADM3,3,32,MOZ,32
33,399.121541869,399.906981002,397.798666382,404.158763657,405.141587998,401.338134766,405.538192737,407.775865638,402.989746095,401.887889996,402.967114258,400.94262085,ADM3,MOZ_ADM3_1_3_3_33,Mueda,ADM3,3,33,MOZ,33
34,400.381041738,402.770129571,397.683218002,403.334956697,406.22177124,400.272125244,407.310553934,408.74345398,404.942993164,402.284506119,405.010467529,400.063334147,ADM3,MOZ_ADM3_1_3_3_34,N'gapa,ADM3,3,34,MOZ,34
35,401.428511773,402.948237073,399.933965047,405.807556363,407.525238037,402.360269165,407.413717091,408.105096991,406.042602539,404.371284218,405.512420654,402.058062077,ADM3,MOZ_ADM3_1_3_3_35,Negomano,ADM3,3,35,MOZ,35
36,399.711526121,400.172058106,399.516490992,404.471170455,404.812217712,403.728027344,405.800307412,406.300754944,404.841474914,402.736998648,403.783122762,400.632748922,ADM3,MOZ_ADM3_1_3_3_36,Chitunda,ADM3,3,36,MOZ,36
37,399.534682738,399.762023926,399.076978895,404.194801184,404.813853496,403.423455132,405.279258051,406.559899927,402.989746095,402.13875892,402.675255669,401.377897701,ADM3,MOZ_ADM3_1_3_3_37,Miteda,ADM3,3,37,MOZ,37
38,399.585876838,400.172058106,399.279292152,404.198022905,404.785535408,403.484961955,405.63725992,406.559899927,404.282569724,402.16482147,403.176832581,400.870536805,ADM3,MOZ_ADM3_1_3_3_38,Muidumbe,ADM3,3,38,MOZ,38
39,400.998499816,403.33732605,397.734975179,404.659503483,405.136135525,404.489536921,406.846725363,407.163013077,406.605792868,404.098422602,405.824981689,400.98046875,ADM3,MOZ_ADM3_1_3_3_39,Hucula,ADM3,3,39,MOZ,39
40,398.040424953,401.058924625,396.907298901,404.258079894,404.936011614,403.700014002,406.502562566,407.387570572,404.850983439,401.352643055,403.172778943,398.55821228,ADM3,MOZ_ADM3_1_3_3_40,Papai,ADM3,3,40,MOZ,40
41,399.739284458,402.320978236,397.32497406,404.746878251,405.470767648,404.472085792,407.077420465,407.358520508,406.650445557,403.497949744,405.824981689,399.769340515,ADM3,MOZ_ADM3_1_3_3_41,Machoca,ADM3,3,41,MOZ,41
42,399.56213001,401.505557025,397.188785977,405.224704322,406.934557234,404.180273873,407.007234178,407.690627441,406.533673859,404.806569331,406.905873617,401.56156038,ADM3,MOZ_ADM3_1_3_3_42,Namuno,ADM3,3,42,MOZ,42
