asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,NAME,Level,adm_int,feature_id,iso,ISO_Code,gqid
0,398.565073983,406.156555175,394.930297852,403.452355113,408.12588501,400.045449151,407.268247213,410.985794068,403.584716797,402.943706848,406.420288086,399.918616401,ADM1,NAM_ADM1_1_3_3_0,Zambezi Region,ADM1,1,0,NAM,NA-CA,0
1,398.370983359,402.594726562,395.120397949,403.287771597,406.191497803,399.623428871,405.646272133,410.468658446,402.414801025,402.225762113,406.660049439,399.222467759,ADM1,NAM_ADM1_1_3_3_1,Erongo Region,ADM1,1,1,NAM,NA-ER,1
2,398.296104173,405.045959473,394.884319908,402.905252174,408.73038737,398.282783509,405.417625717,411.373291016,401.869188582,401.652123894,409.517150879,398.413956586,ADM1,NAM_ADM1_1_3_3_2,Hardap Region,ADM1,1,2,NAM,NA-HA,2
3,398.262915442,405.374018351,395.28385376,402.698229193,406.227301024,397.818084717,405.145291652,409.136169434,402.251922608,401.102875825,405.151306152,397.593994141,ADM1,NAM_ADM1_1_3_3_3,Karas Region,ADM1,1,3,NAM,NA-KA,3
4,398.801544343,404.700836182,395.998474121,403.371163858,406.469177246,400.433220497,406.194145392,410.12689209,402.172210694,401.408742318,404.65890503,399.24256243,ADM1,NAM_ADM1_1_3_3_4,Khomas Region,ADM1,1,4,NAM,NA-KH,4
5,398.956903111,402.743526459,395.102559407,403.678328867,409.364257812,398.20489502,405.899678525,411.301625569,402.097442627,402.702929859,410.893585205,398.716552735,ADM1,NAM_ADM1_1_3_3_5,Kunene Region,ADM1,1,5,NAM,NA-KU,5
6,398.517760481,405.131286621,394.972382722,403.492736752,408.250976562,400.153565674,406.703942182,410.98864746,401.459706626,401.382670873,403.515375927,398.888067627,ADM1,NAM_ADM1_1_3_3_6,Ohangwena Region,ADM1,1,6,NAM,NA-OW,6
7,398.8082894,404.700836182,395.818067278,403.420742067,406.597473145,398.911788941,405.8817963,411.046447754,400.67803955,402.274340802,406.978851319,397.943084718,ADM1,NAM_ADM1_1_3_3_7,Omaheke Region,ADM1,1,7,NAM,NA-OH,7
8,398.875007593,401.985870361,394.704761081,403.57459988,406.416453044,400.744252132,406.177830209,409.541351319,403.186673119,401.373652504,405.306976318,399.254899767,ADM1,NAM_ADM1_1_3_3_8,Omusati Region,ADM1,1,8,NAM,NA-OS,8
9,398.853511163,402.738230387,394.907759817,402.754355316,405.933172607,400.102304731,406.455414433,408.942779541,401.858571371,401.066085499,405.507276492,398.905487061,ADM1,NAM_ADM1_1_3_3_9,Oshana Region,ADM1,1,9,NAM,NA-ON,9
10,398.814772702,404.864074706,394.907759817,403.513556067,408.4947052,399.533729771,406.888660866,412.112152099,401.415496827,401.604115096,403.164138522,399.048177083,ADM1,NAM_ADM1_1_3_3_10,Oshikoto Region,ADM1,1,10,NAM,NA-OT,10
11,399.05503329,406.40145874,394.829895019,403.458589125,411.277557373,398.76071167,406.454885717,412.804229737,401.332157135,402.201354051,408.971130371,398.080188751,ADM1,NAM_ADM1_1_3_3_11,Otjozondjupa Region,ADM1,1,11,NAM,NA-OD,11
12,399.455251339,402.570922852,395.395782472,404.611603234,411.250061035,400.421551248,406.5609126,411.997131348,400.36517334,402.488126322,408.610046387,398.659942627,ADM1,NAM_ADM1_1_3_3_12,Kavango-East Region,ADM1,1,12,NAM,NA-KE,12
13,399.34384106,406.892211914,395.014455622,403.33413276,409.005767822,398.511164347,406.981198946,411.83770752,401.028445774,403.013796051,407.549560547,398.903737386,ADM1,NAM_ADM1_1_3_3_13,Kavango-West Region,ADM1,1,13,NAM,NA-KW,13
