asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,398.572852721,399.132381086,398.132455332,404.512890619,404.67755707,404.332861577,405.479921343,405.581309001,405.046800839,401.841108045,401.943547722,401.765912267,ADM2,NGA_ADM2_1_3_3_0,Aba North,ADM2,2,0,NGA,0
1,398.935381114,399.132381086,398.28366428,404.395230986,404.601561948,404.332861577,405.442412919,405.581309001,405.400427624,401.907240291,401.943547722,401.787127765,ADM2,NGA_ADM2_1_3_3_1,Aba South,ADM2,2,1,NGA,1
2,401.149722909,403.362299467,399.502007378,405.931748231,406.23212474,405.518938298,405.690516804,406.899003553,404.420171026,401.116691916,401.368210363,400.920165987,ADM2,NGA_ADM2_1_3_3_2,Arochukwu,ADM2,2,2,NGA,2
3,402.493141255,404.751483448,399.717129794,406.050253017,406.221652542,405.635648426,407.041700056,408.056873641,405.741133466,401.109905691,402.15296285,400.806177024,ADM2,NGA_ADM2_1_3_3_3,Bende,ADM2,2,3,NGA,3
4,401.069630949,402.950439051,400.042942248,405.464897273,405.904348797,405.290952933,405.857088316,406.630419125,405.472549038,401.339376776,401.431856855,401.097801442,ADM2,NGA_ADM2_1_3_3_4,Ikwuano,ADM2,2,4,NGA,4
5,400.252591963,401.299837692,398.132455332,405.020002832,405.290952933,404.601561948,405.765442998,406.300150679,405.203964609,401.554310447,401.787127765,401.431856855,ADM2,NGA_ADM2_1_3_3_5,Isiala-Ngwa North,ADM2,2,5,NGA,5
6,401.623314142,402.581110975,399.413728615,405.315780135,405.559653304,404.946257441,406.135610327,406.568735107,405.203964609,401.389601858,401.60949231,401.275436897,ADM2,NGA_ADM2_1_3_3_6,Isiala-Ngwa South,ADM2,2,6,NGA,6
7,402.19111376,404.751483448,399.37523628,406.166574355,406.4571167,406.021058924,408.010148096,408.9461593,407.312804374,401.029146717,401.903061116,400.692188061,ADM2,NGA_ADM2_1_3_3_7,Isuikwato,ADM2,2,7,NGA,7
8,398.719273329,400.737534239,397.981246383,404.674033383,405.290952933,404.332861577,405.155930193,405.727522532,404.693174055,401.773099669,401.943547722,401.431856855,ADM2,NGA_ADM2_1_3_3_8,Obi Nwa,ADM2,2,8,NGA,8
9,401.691778113,403.362299467,399.717129794,406.198823583,406.299517235,405.980343918,406.374458477,407.64307282,404.627155816,401.286523624,402.207561849,400.920165987,ADM2,NGA_ADM2_1_3_3_9,Ohafia,ADM2,2,9,NGA,9
10,399.095741419,401.148628743,398.28366428,404.712727436,405.13896269,404.256866456,405.727383845,406.093250268,405.400427624,401.717691408,401.96476322,401.474287849,ADM2,NGA_ADM2_1_3_3_10,Osisioma Ngwa,ADM2,2,10,NGA,10
11,399.401458814,400.132306841,398.981172138,404.249268175,404.408856699,404.038885554,405.339666413,405.754054408,404.865919462,401.993198077,402.121183177,401.922332225,ADM2,NGA_ADM2_1_3_3_11,Ugwunagbo,ADM2,2,11,NGA,11
12,400.02337838,400.829814699,398.82996319,404.070252401,404.48485182,403.795460835,404.943306429,405.219546246,404.3314113,402.112430993,402.256387638,401.901116728,ADM2,NGA_ADM2_1_3_3_12,Ukwa East,ADM2,2,12,NGA,12
13,400.161985844,401.132232596,398.434873228,404.053199444,404.525566826,403.795460835,405.585636921,405.934935785,405.038664869,402.12632912,402.298818632,401.808343262,ADM2,NGA_ADM2_1_3_3_13,Ukwa West,ADM2,2,13,NGA,13
14,401.121415837,405.335038684,397.772053111,406.495265516,406.722258135,406.417820046,408.912356463,409.421644139,408.53235848,401.613682604,402.043764852,400.933676327,ADM2,NGA_ADM2_1_3_3_14,Umu-Neochi,ADM2,2,14,NGA,14
15,403.825387982,405.446075439,402.950439051,405.899122931,406.120563799,405.752358553,406.994448215,407.995189623,406.630419125,401.058412236,401.140232437,400.827392521,ADM2,NGA_ADM2_1_3_3_15,Umuahia North,ADM2,2,15,NGA,15
16,402.819760438,404.013593207,401.843986645,405.600282615,405.828353675,405.407663061,406.533608498,407.044219946,406.154934286,401.231094868,401.317867892,401.119016939,ADM2,NGA_ADM2_1_3_3_16,Umuahia South,ADM2,2,16,NGA,16
17,400.422829346,404.122619629,397.676908705,406.291291868,407.858581543,403.482276069,406.467177827,410.135729472,403.27157932,403.083798032,403.98147583,402.580552132,ADM2,NGA_ADM2_1_3_3_17,Demsa,ADM2,2,17,NGA,17
18,401.761768453,403.258047251,400.317555745,402.965457823,407.185424803,399.216751098,409.636238712,411.392412458,407.410799027,405.196908375,406.715784073,402.362571716,ADM2,NGA_ADM2_1_3_3_18,Gombi,ADM2,2,18,NGA,18
19,401.394328357,403.747373581,399.445844148,403.81935807,406.835626095,400.856492784,408.159426606,411.498077392,404.046447755,406.410030694,408.047201718,402.669751619,ADM2,NGA_ADM2_1_3_3_19,Gireri,ADM2,2,19,NGA,19
20,399.679108667,402.772282918,397.317260742,406.374397374,407.169110687,404.787960688,406.562345634,408.950701428,405.038430468,403.158899711,403.554957229,402.54706955,ADM2,NGA_ADM2_1_3_3_20,Guyuk,ADM2,2,20,NGA,20
21,399.519951806,402.591583252,395.472259521,406.851721594,407.368505859,405.555786133,407.468741906,408.796016192,401.553231377,405.327809258,407.027973175,399.934322781,ADM2,NGA_ADM2_1_3_3_21,Hong,ADM2,2,21,NGA,21
22,402.341970566,405.500435893,398.081977845,407.11815601,408.485443115,406.051467896,407.94572662,410.892157921,403.531778972,403.091247929,404.371374512,402.379272461,ADM2,NGA_ADM2_1_3_3_22,Lamurde,ADM2,2,22,NGA,22
23,401.073504205,403.752261691,394.605804444,407.517976048,411.137196859,406.940733476,407.924405652,410.322725932,403.27157932,403.169262873,406.432122325,402.418141683,ADM2,NGA_ADM2_1_3_3_23,Mayo-Belwa,ADM2,2,23,NGA,23
24,400.095749744,404.122619629,397.676908705,407.132740621,408.485443115,406.027279663,407.005462338,410.892157921,403.530578613,403.593742393,404.371374512,402.714866638,ADM2,NGA_ADM2_1_3_3_24,Numan,ADM2,2,24,NGA,24
25,399.674360545,402.985034943,397.937332153,403.996371417,406.027279663,401.494092879,408.148613859,411.392412458,405.787028073,403.582607712,406.646734619,402.362571716,ADM2,NGA_ADM2_1_3_3_25,Shelleng,ADM2,2,25,NGA,25
26,400.767839991,403.199584961,396.799599966,404.067039089,408.118665174,399.216751098,409.463339358,412.012023925,404.046447755,406.554860405,408.329177856,398.406753541,ADM2,NGA_ADM2_1_3_3_26,Song,ADM2,2,26,NGA,26
27,400.396954642,403.747373581,399.419362922,405.881534838,407.557960013,402.750571244,407.601449141,410.324302342,402.97632708,403.793149635,407.266510009,402.087611343,ADM2,NGA_ADM2_1_3_3_27,Yola North,ADM2,2,27,NGA,27
28,400.091094801,400.984965274,399.419362922,405.663327758,405.959061775,402.750571244,409.424395729,409.832358805,408.676375354,405.418565376,407.266510009,402.452133179,ADM2,NGA_ADM2_1_3_3_28,Yola South,ADM2,2,28,NGA,28
29,398.871875165,400.439942932,398.407819112,404.570284494,404.981537556,404.099441322,404.04104558,405.294555,403.632293701,401.908194848,402.181040987,401.685601092,ADM2,NGA_ADM2_1_3_3_29,Abak,ADM2,2,29,NGA,29
30,401.844007015,403.049848429,400.832267252,403.65925103,403.982731194,403.36933533,407.557698482,408.54808866,406.12568565,402.495320271,402.640255542,402.303924723,ADM2,NGA_ADM2_1_3_3_30,Eket,ADM2,2,30,NGA,30
31,400.820916905,401.797764587,399.752203369,403.785877237,404.058726315,403.521325574,407.548284533,408.54808866,406.447244497,402.456433705,402.604030203,402.285812053,ADM2,NGA_ADM2_1_3_3_31,Esit Eket,ADM2,2,31,NGA,31
32,398.319542021,398.985600789,397.830037435,404.723174397,404.981537556,404.48485182,404.465105699,404.860188293,403.985920486,401.786679547,401.901116728,401.685601092,ADM2,NGA_ADM2_1_3_3_32,Essien Udim,ADM2,2,32,NGA,32
33,399.557669103,400.678605751,398.508948263,404.295957931,404.636842064,403.871455957,404.391090907,404.865919462,403.973707779,402.023026436,402.235378996,401.862822837,ADM2,NGA_ADM2_1_3_3_33,Etim Ekpo,ADM2,2,33,NGA,33
34,400.421045322,401.11885376,399.18785909,404.10093794,404.444136814,403.906736072,405.524990072,406.12568565,404.463424351,402.207042093,402.322037392,402.003819242,ADM2,NGA_ADM2_1_3_3_34,Etinan,ADM2,2,34,NGA,34
35,399.411175947,399.866769918,398.727397495,404.430468515,404.712837185,404.251431565,404.854591306,405.56498014,403.632293701,402.038973764,402.144815648,401.844710167,ADM2,NGA_ADM2_1_3_3_35,Ibesikpo Asutan,ADM2,2,35,NGA,35
36,399.329622376,400.079789056,398.727397495,405.163923946,405.59493342,404.712837185,404.26489868,404.80504329,403.632293701,401.586708883,401.844710167,401.349270273,ADM2,NGA_ADM2_1_3_3_36,Ibiono Ibom,ADM2,2,36,NGA,36
