asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,name,Level,adm_int,feature_id,iso,gqid
0,398.84565673,399.176511928,398.369591522,402.819313899,403.593500208,401.114952935,405.43770313,406.174446953,405.081678,401.548010869,402.04987208,401.304490662,ADM4,ZAF_ADM4_1_3_3_0,Mier Heritage Land,ADM4,4,0,ZAF,0
1,399.629045761,400.619735718,398.204723628,404.680947838,407.655380249,403.496984863,406.186611006,406.486907959,405.355714798,403.08032647,404.294845581,401.640925966,ADM4,ZAF_ADM4_1_3_3_1,San Heritage Land,ADM4,4,1,ZAF,1
2,398.071408358,400.475128174,395.884226481,402.239299485,404.674814453,400.039459229,405.172148447,406.220921326,403.632446289,401.048241725,402.707968278,398.694462367,ADM4,ZAF_ADM4_1_3_3_2,Richtersveld Ward 1,ADM4,4,2,ZAF,2
3,397.126612509,400.237030029,395.401453857,401.679234751,404.460845947,400.195599366,404.641270455,406.048269833,404.117250491,400.845457215,402.426943461,398.694462367,ADM4,ZAF_ADM4_1_3_3_3,Richtersveld Ward 2,ADM4,4,3,ZAF,3
4,397.717332487,399.316704792,395.615539551,401.730967495,403.684606216,400.269592285,405.118325343,406.373949687,403.524169922,400.544558301,402.41727066,398.872928619,ADM4,ZAF_ADM4_1_3_3_4,Richtersveld Ward 3,ADM4,4,4,ZAF,4
5,397.211078636,397.845807757,395.615539551,401.231854211,403.827148438,400.269592285,404.590488941,405.752698898,403.891740163,401.609299831,402.537567138,399.626627604,ADM4,ZAF_ADM4_1_3_3_5,Richtersveld Ward 4,ADM4,4,5,ZAF,5
6,397.840474444,400.155786133,395.717488607,402.63715,405.410430908,400.381399972,404.688431678,407.206048584,403.292102349,401.028345076,402.58580017,399.323084695,ADM4,ZAF_ADM4_1_3_3_6,Nama Khoi Ward 1,ADM4,4,6,ZAF,6
7,398.26636488,399.930282593,396.152099609,402.556522906,403.93286499,400.381399972,405.267599035,408.790496826,403.366241455,401.976952119,404.159622193,399.875125732,ADM4,ZAF_ADM4_1_3_3_7,Nama Khoi Ward 2,ADM4,4,7,ZAF,7
8,398.32601229,398.910457611,397.98311942,402.499575161,403.913515531,401.059589386,404.570942522,405.578652445,403.524169922,401.120263669,402.435741735,400.117312727,ADM4,ZAF_ADM4_1_3_3_8,Nama Khoi Ward 3,ADM4,4,8,ZAF,8
9,398.653897758,398.940747942,398.430346534,403.757136332,404.397475179,403.568489922,405.407736392,405.829788208,404.669631958,401.72437651,402.174163818,400.706835792,ADM4,ZAF_ADM4_1_3_3_9,Nama Khoi Ward 4,ADM4,4,9,ZAF,9
10,398.503416279,398.701748439,398.430346534,404.10829005,404.307163785,403.568489922,404.885233759,405.470438639,404.669631958,401.290569545,401.765348707,401.115650903,ADM4,ZAF_ADM4_1_3_3_10,Nama Khoi Ward 5,ADM4,4,10,ZAF,10
11,398.391308092,398.701748439,398.098669455,404.238734638,404.903839111,402.864757303,405.482956514,405.829788208,404.669631958,401.480231374,402.174163818,400.838977485,ADM4,ZAF_ADM4_1_3_3_11,Nama Khoi Ward 6,ADM4,4,11,ZAF,11
12,398.422393739,399.712459019,397.429769958,402.306080856,404.307163785,400.628396171,404.32177533,405.463755685,402.708669027,400.415549165,401.611411817,399.407440185,ADM4,ZAF_ADM4_1_3_3_12,Nama Khoi Ward 7,ADM4,4,12,ZAF,12
13,397.375307565,399.712459019,395.55245463,402.163221144,403.529443914,400.599961444,405.107158473,406.373949687,402.708669027,400.968785295,402.537567138,398.979614258,ADM4,ZAF_ADM4_1_3_3_13,Nama Khoi Ward 8,ADM4,4,13,ZAF,13
14,398.198953517,399.408628267,397.887542725,402.702009299,404.903839111,401.059589386,405.068269962,405.704220327,404.080876796,400.785131507,401.577027639,400.117312727,ADM4,ZAF_ADM4_1_3_3_14,Nama Khoi Ward 9,ADM4,4,14,ZAF,14
15,397.914425877,399.66027832,395.20722168,402.158591165,403.553121713,400.866638184,404.73112742,406.180406359,403.331092834,400.59667001,402.064348009,399.397957938,ADM4,ZAF_ADM4_1_3_3_15,Kamiesberg Ward 1,ADM4,4,15,ZAF,15
16,397.624033842,398.918966854,394.697835287,402.989735566,405.586517334,400.910232544,404.99292144,406.564941407,403.467773438,401.172087621,404.866729736,399.47202301,ADM4,ZAF_ADM4_1_3_3_16,Kamiesberg Ward 2,ADM4,4,16,ZAF,16
17,398.332379267,399.66027832,395.743667603,403.804928853,406.194104004,400.866638184,405.002710287,407.117848714,403.494720459,400.926414149,402.001733568,399.858754476,ADM4,ZAF_ADM4_1_3_3_17,Kamiesberg Ward 3,ADM4,4,17,ZAF,17
18,397.354370248,400.155786133,395.877478027,402.722983553,406.194104004,400.975218506,405.121362536,407.206048584,403.712212604,400.816512362,403.092391968,399.233596075,ADM4,ZAF_ADM4_1_3_3_18,Kamiesberg Ward 4,ADM4,4,18,ZAF,18
19,397.994736061,399.074201311,397.803410847,402.995815383,403.353851318,402.743371346,405.575890662,406.354003906,405.464872056,400.58905979,401.157496616,400.527465088,ADM4,ZAF_ADM4_1_3_3_19,Hantam Ward 1,ADM4,4,19,ZAF,19
20,397.916751195,397.916751195,397.916751195,402.981773626,402.981773626,402.981773626,405.464872056,405.464872056,405.464872056,400.527465088,400.527465088,400.527465088,ADM4,ZAF_ADM4_1_3_3_20,Hantam Ward 2,ADM4,4,20,ZAF,20
21,398.421830769,399.704029756,395.552032471,402.663996479,404.552011343,400.666120529,405.344782954,407.784667969,402.76095581,400.570516199,402.758163452,398.499135335,ADM4,ZAF_ADM4_1_3_3_21,Hantam Ward 3,ADM4,4,21,ZAF,21
22,397.537864302,399.273858643,395.583070543,402.655948308,404.135846819,400.748891195,405.28159225,406.745234172,403.201828003,400.311260877,402.336242676,397.796925864,ADM4,ZAF_ADM4_1_3_3_22,Hantam Ward 4,ADM4,4,22,ZAF,22
23,397.481388065,399.527336707,396.012039184,402.696252786,404.022491455,401.167306753,405.247380105,407.784667969,403.258063821,400.411712316,402.062084198,398.638061523,ADM4,ZAF_ADM4_1_3_3_23,Hantam Ward 5,ADM4,4,23,ZAF,23
24,398.555720441,398.707430522,398.486156491,402.679646304,402.882042398,402.227624817,405.4665909,405.94871964,405.245060489,400.800372545,400.967150879,400.418346136,ADM4,ZAF_ADM4_1_3_3_24,Karoo Hoogland Ward 1,ADM4,4,24,ZAF,24
