asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,400.496305995,401.485456194,398.372406006,403.429542646,405.199798584,400.128847395,406.922355785,407.945916312,404.885009766,401.970048865,403.643486023,400.458389282,ADM2,TZA_ADM2_1_3_3_0,Bagamoyo,ADM2,2,0,TZA,0
1,399.057391533,402.04570146,397.785391002,404.936060998,407.365347289,401.520217897,406.689847529,407.996986389,405.143426996,402.649169665,404.891050633,401.435923857,ADM2,TZA_ADM2_1_3_3_1,Bariadi,ADM2,2,1,TZA,1
2,399.535254221,401.332436117,396.944488525,403.745968742,405.610913445,401.674911499,406.372522113,408.599433899,402.410571289,402.84853609,405.03276062,400.599224222,ADM2,TZA_ADM2_1_3_3_2,Chunya,ADM2,2,2,TZA,2
3,399.237994261,401.482512411,396.223526,403.947910693,404.824549018,402.89310279,406.128055569,406.867753383,405.04369439,401.620020487,402.180379232,400.993590673,ADM2,TZA_ADM2_1_3_3_3,Geita,ADM2,2,3,TZA,3
4,398.96368335,401.913319905,397.377258301,405.286112501,408.110677665,402.765852864,406.493368469,408.743865967,405.516200765,403.792539807,406.009419759,400.705429077,ADM2,TZA_ADM2_1_3_3_4,Iramba,ADM2,2,4,TZA,4
5,399.511224232,403.625198364,397.483089871,403.984401735,407.986332485,397.190124512,407.220519367,410.401433648,405.010656393,402.258733703,406.408111572,399.34054288,ADM2,TZA_ADM2_1_3_3_5,Iringa,ADM2,2,5,TZA,5
6,399.451076174,402.410751342,396.817243788,404.832645342,405.937632243,401.550494385,406.750249789,408.159413964,404.279052735,403.227935395,406.135314941,399.608048659,ADM2,TZA_ADM2_1_3_3_6,Kalambo,ADM2,2,6,TZA,6
7,400.028850376,401.744812012,397.00821228,403.528162769,405.249660334,402.023382568,405.29119507,407.353094482,402.571370443,402.623046155,404.651771602,399.269195557,ADM2,TZA_ADM2_1_3_3_7,Karagwe,ADM2,2,7,TZA,7
8,399.592258311,400.314798991,398.780581767,404.205304461,406.359383385,403.016464446,406.085571743,408.309774399,404.49670216,402.173139021,404.370035807,400.87636877,ADM2,TZA_ADM2_1_3_3_8,Kibondo,ADM2,2,8,TZA,8
9,399.927557087,403.346343994,397.127593994,404.467242269,406.771850586,402.073188782,405.671852623,408.293243408,401.683005333,402.101071729,405.514526367,399.269518452,ADM2,TZA_ADM2_1_3_3_9,Kilwa,ADM2,2,9,TZA,9
10,399.256851801,399.647110494,398.946271769,404.999207323,405.279418945,404.653538295,406.163183012,406.828699787,405.687683105,402.372030327,402.65621357,401.852567546,ADM2,TZA_ADM2_1_3_3_10,Kinondoni,ADM2,2,10,TZA,10
11,398.925998271,400.572418213,396.637823486,404.391052423,406.119609833,403.239624023,406.644794745,409.737884521,404.459320069,403.11284943,406.101348877,399.007069905,ADM2,TZA_ADM2_1_3_3_11,Kondoa,ADM2,2,11,TZA,11
12,399.027518724,400.354944356,398.054941406,403.245027819,404.547080814,401.791809082,405.777651947,407.270000751,403.399497986,403.015773994,405.53435262,400.491943359,ADM2,TZA_ADM2_1_3_3_12,Lushoto,ADM2,2,12,TZA,12
13,398.934614886,403.385162354,395.57598877,404.679765824,408.661605835,402.169281006,405.578363909,411.0803833,403.79220581,402.060633553,403.927168194,400.628677368,ADM2,TZA_ADM2_1_3_3_13,Monduli,ADM2,2,13,TZA,13
14,399.582560761,402.011108398,398.358959492,403.88540437,404.548594157,402.699711629,407.881521154,408.538879395,405.323280334,402.89394951,405.407096863,401.212298584,ADM2,TZA_ADM2_1_3_3_14,Mtwara,ADM2,2,14,TZA,14
15,400.894929551,405.080627441,398.140701294,404.256834915,405.431713867,403.098749497,405.572518387,407.210556577,404.011942546,401.924250315,403.785266427,400.55008184,ADM2,TZA_ADM2_1_3_3_15,Njombe Urban,ADM2,2,15,TZA,15
16,399.089021971,400.868026864,396.596212387,403.500974402,406.087554932,402.283031117,406.140110128,407.800446261,400.404205323,400.819458844,402.9972229,399.63885498,ADM2,TZA_ADM2_1_3_3_16,Nzega,ADM2,2,16,TZA,16
17,399.058307126,400.903435989,397.821116129,403.164309152,404.232392447,402.211837769,406.555296237,407.197406769,404.836021423,400.106474756,404.060546875,395.493754069,ADM2,TZA_ADM2_1_3_3_17,Rombo,ADM2,2,17,TZA,17
18,398.370384394,398.884315491,397.870809702,405.157446543,405.601448059,404.824544271,405.59366284,405.932669547,405.351972909,402.575745604,403.366108847,402.28318734,ADM2,TZA_ADM2_1_3_3_18,Shinyanga Urban,ADM2,2,18,TZA,18
19,398.90827086,399.897930145,397.783126831,405.083404655,406.513937926,401.931302025,407.144107326,407.974684521,405.652830425,402.919103627,403.975301107,401.919080946,ADM2,TZA_ADM2_1_3_3_19,Tarime,ADM2,2,19,TZA,19
20,396.851107523,400.113769531,393.698681641,403.946190356,405.366600453,401.966918945,406.991570509,409.694163005,403.572070313,403.538021574,405.843261719,401.314727783,ADM2,TZA_ADM2_1_3_3_20,Tunduru,ADM2,2,20,TZA,20
21,399.999244769,401.858177185,398.52154541,404.532513256,405.517951966,403.030700684,405.966865618,407.660568238,404.527069092,402.135956269,403.33412679,401.036107178,ADM2,TZA_ADM2_1_3_3_21,Ukerewe,ADM2,2,21,TZA,21
22,399.284477866,399.834333147,398.07838004,403.441842777,404.332243042,402.750089615,404.451865786,404.961449517,403.964497884,402.228122286,402.722564697,401.75149943,ADM2,TZA_ADM2_1_3_3_22,Bukoba,ADM2,2,22,TZA,22
23,398.618499444,400.718894265,397.587871387,405.745801834,409.102966309,403.08798027,406.472693255,408.562303816,404.433741416,403.044706139,407.215627035,400.905294736,ADM2,TZA_ADM2_1_3_3_23,Igunga,ADM2,2,23,TZA,23
24,399.388473845,399.859642029,398.944202423,404.938837748,405.279418945,404.518025717,406.973598266,407.831696036,405.230847168,402.722244375,402.838701672,402.45788091,ADM2,TZA_ADM2_1_3_3_24,Ilala,ADM2,2,24,TZA,24
25,399.46172944,401.544525146,398.162423953,404.509654735,406.3230896,403.246063232,406.913956518,407.58744812,405.618118286,402.722862917,405.28442955,400.622055054,ADM2,TZA_ADM2_1_3_3_25,Itilima,ADM2,2,25,TZA,25
26,399.527242199,401.116190592,397.001373291,404.517250459,405.871495056,403.42443996,406.207749122,407.523541745,404.392684937,402.239927361,404.355377197,400.442674256,ADM2,TZA_ADM2_1_3_3_26,Kasulu,ADM2,2,26,TZA,26
27,400.306963991,401.080474854,399.484185475,403.1984321,404.85071818,400.488815308,405.87689238,407.553619385,404.885009766,402.050914854,403.341705322,400.297427707,ADM2,TZA_ADM2_1_3_3_27,Kibaha,ADM2,2,27,TZA,27
28,398.598179239,399.883156224,398.029792885,405.654703297,407.666482544,402.478618622,406.306789753,408.743865967,403.681175232,404.298696068,407.215627035,401.585418701,ADM2,TZA_ADM2_1_3_3_28,Kishapu,ADM2,2,28,TZA,28
29,399.299514484,401.233534919,397.750671387,403.686792226,404.743344383,402.59463501,405.88267551,407.47314209,401.674133302,402.622895795,403.963867188,398.964285958,ADM2,TZA_ADM2_1_3_3_29,Korogwe,ADM2,2,29,TZA,29
30,399.651183964,402.011108398,397.289306641,404.785313695,406.771850586,403.731947763,407.245133976,408.518234819,404.694763184,403.188238907,405.15020752,400.824053083,ADM2,TZA_ADM2_1_3_3_30,Lindi,ADM2,2,30,TZA,30
31,398.640893103,399.479097933,398.174930149,404.225144108,405.156913757,403.002187093,405.508294128,407.023493449,403.424194336,402.354413189,403.566996256,402.03242623,ADM2,TZA_ADM2_1_3_3_31,Magu,ADM2,2,31,TZA,31
32,400.483618335,401.897735596,399.323191433,403.809677204,405.346355237,403.206943659,407.576662318,410.276275635,406.527382987,404.300619082,406.990753174,402.083679199,ADM2,TZA_ADM2_1_3_3_32,Mbeya,ADM2,2,32,TZA,32
33,399.671777181,402.735120138,398.382277608,404.552915366,405.904689202,403.349932232,405.686469512,406.773407922,404.814893104,403.53215358,405.203926086,402.065745672,ADM2,TZA_ADM2_1_3_3_33,Meru,ADM2,2,33,TZA,33
34,399.611355599,402.207103528,397.517530441,404.427650884,405.781408182,403.42815484,407.873624901,411.00302124,403.567621568,402.688889664,405.110443115,400.216077532,ADM2,TZA_ADM2_1_3_3_34,Mpwapwa,ADM2,2,34,TZA,34
35,399.867153336,403.16079394,396.886871338,404.114543223,407.611206055,400.9804218,406.440917964,409.006507873,404.045935537,402.396048333,404.165171305,399.947849819,ADM2,TZA_ADM2_1_3_3_35,Mufindi,ADM2,2,35,TZA,35
36,399.342553245,401.306640625,397.536395264,404.480427518,406.09625244,403.021328736,406.493295789,412.184438069,405.068058894,402.63974498,404.984710693,400.55670166,ADM2,TZA_ADM2_1_3_3_36,Mwanga,ADM2,2,36,TZA,36
37,398.820513083,401.139251709,397.751208761,403.454343092,406.572361537,400.639334107,407.051651499,408.502751386,404.942993164,401.521371882,403.563607352,399.93248664,ADM2,TZA_ADM2_1_3_3_37,Newala,ADM2,2,37,TZA,37
38,401.792427352,403.516557693,399.370639801,403.732461919,404.911529541,402.656171526,405.661647578,406.985977609,404.976135254,401.34285473,401.699535942,400.567275238,ADM2,TZA_ADM2_1_3_3_38,Nyang'hwale,ADM2,2,38,TZA,38
39,399.047785883,401.229153442,396.991538963,404.762197848,407.365347289,402.249436088,406.419968144,408.083077947,404.14479065,403.026194272,404.707733154,400.519866943,ADM2,TZA_ADM2_1_3_3_39,Serengeti,ADM2,2,39,TZA,39
