asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,401.203489741,401.604312134,400.90498469,404.969439513,406.010942247,404.00761506,405.78717237,408.071929315,404.349950087,403.651823671,404.356058757,402.573002794,ADM2,ZMB_ADM2_1_3_3_0,Livingstone,ADM2,2,0,ZMB,0
1,399.791910537,402.245579529,396.854859755,404.774767409,406.623231587,401.592941284,406.954524952,408.217564174,403.280911446,403.188406938,405.224192301,400.874275208,ADM2,ZMB_ADM2_1_3_3_1,Sinazongwe,ADM2,2,1,ZMB,1
2,399.354560107,402.052093506,397.976893616,403.311645023,406.947540283,399.189910888,405.279885149,408.526823934,402.929417201,402.610168539,405.224192301,400.272149658,ADM2,ZMB_ADM2_1_3_3_2,Gwembe,ADM2,2,2,ZMB,2
3,399.01172225,401.878517151,394.978729249,404.042362176,408.284934997,399.727485657,405.691177045,408.103464762,401.942901611,402.571270222,408.050354004,400.049026489,ADM2,ZMB_ADM2_1_3_3_3,Kalomo,ADM2,2,3,ZMB,3
4,399.028971961,402.052093506,394.997406006,404.487249375,406.947540283,403.557789196,406.78540951,408.939006487,405.369937897,401.95006464,403.900417643,400.726730347,ADM2,ZMB_ADM2_1_3_3_4,Choma,ADM2,2,4,ZMB,4
5,400.522353371,402.03046875,395.233210867,404.794881729,408.284934997,401.444988251,405.478218992,408.901112874,402.667002258,403.341561514,407.66607666,400.146572974,ADM2,ZMB_ADM2_1_3_3_5,Kazungula,ADM2,2,5,ZMB,5
6,399.706061683,402.028846232,397.553625319,404.593115596,405.447703043,401.473541261,406.111291902,408.18617185,404.510353089,403.028494926,404.578382296,401.77835083,ADM2,ZMB_ADM2_1_3_3_6,Siavonga,ADM2,2,6,ZMB,6
7,399.942506434,404.515808104,395.392684938,403.726412502,408.454711914,399.868865967,408.016241676,411.845886231,404.196670532,403.690115343,407.662536621,398.833343506,ADM2,ZMB_ADM2_1_3_3_7,Shang'ombo,ADM2,2,7,ZMB,7
8,399.966348708,402.231872559,398.139147442,404.133868102,405.559551566,401.704620361,408.049555826,410.580551147,403.386541748,403.79379765,406.47832489,399.29727173,ADM2,ZMB_ADM2_1_3_3_8,Monze,ADM2,2,8,ZMB,8
9,399.058625367,401.801818848,396.29724884,404.105996444,406.32046274,399.751708984,406.944154244,410.410499275,402.359832764,402.720436057,405.553433186,400.694210053,ADM2,ZMB_ADM2_1_3_3_9,Namwala,ADM2,2,9,ZMB,9
10,399.037409804,402.231872559,396.87991333,403.82663692,406.55293986,402.223632812,406.325308652,408.467217339,403.640870528,402.610873639,406.61529541,399.29727173,ADM2,ZMB_ADM2_1_3_3_10,Mazabuka,ADM2,2,10,ZMB,10
11,399.267901234,402.54107666,395.152983695,403.348940623,406.663949149,399.810000333,406.430106075,410.985794068,402.134368897,402.256428817,404.457885741,399.621313307,ADM2,ZMB_ADM2_1_3_3_11,Sesheke,ADM2,2,11,ZMB,11
12,398.854478349,402.862413534,395.128456518,402.481003504,404.572537905,400.147288005,406.295147151,410.65703125,402.36430359,402.10795126,404.457885741,398.833343506,ADM2,ZMB_ADM2_1_3_3_12,Senanga,ADM2,2,12,ZMB,12
13,399.678443535,401.232931518,398.398243297,403.727662374,404.238240269,403.37197876,408.168796736,409.958267212,407.633364411,402.598086067,403.158902486,402.271647135,ADM2,ZMB_ADM2_1_3_3_13,Lusaka,ADM2,2,13,ZMB,13
