asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,gqid
0,399.928365211,403.467102051,395.248521693,405.071513385,408.286712646,401.311309814,407.102821687,411.121063232,402.788108826,403.34487684,408.575500488,397.100170633,ADM2,ZWE_ADM2_1_3_3_0,Hwange,ADM2,2,0,ZWE,0
1,399.161693785,402.101421009,394.118231638,403.464557505,408.542863769,397.521881104,406.059052854,408.985900879,400.289245606,402.521950607,405.661155701,399.407806396,ADM2,ZWE_ADM2_1_3_3_1,Hurungwe,ADM2,2,1,ZWE,1
2,399.497549042,401.910455322,397.064727783,403.141230697,405.321858724,399.863220215,406.008621605,407.918954031,404.310379028,402.652291306,404.160027137,401.089874078,ADM2,ZWE_ADM2_1_3_3_2,Mutare,ADM2,2,2,ZWE,2
3,401.154570627,401.910455322,400.370396239,404.052744973,405.321858724,403.491652493,406.520787108,407.029779925,406.152279281,402.59368255,403.735608188,402.169494629,ADM2,ZWE_ADM2_1_3_3_3,Mutare Urban,ADM2,2,3,ZWE,3
4,399.485804992,402.517395019,393.767364503,404.975373408,407.730377197,402.26309628,406.543141088,408.531125895,403.688964844,403.909089104,406.07611084,400.502655029,ADM2,ZWE_ADM2_1_3_3_4,Lupane,ADM2,2,4,ZWE,4
5,399.50042339,401.422871908,396.390762329,404.012830507,411.038360596,398.857391357,406.264875662,410.973968506,403.453494602,402.26296349,403.607376099,398.109819201,ADM2,ZWE_ADM2_1_3_3_5,Beitbridge,ADM2,2,5,ZWE,5
6,398.934031857,400.574116707,395.549743652,403.170450685,408.966989426,398.848458427,405.789172469,408.582311216,403.637817383,401.54891892,403.791000366,397.952041626,ADM2,ZWE_ADM2_1_3_3_6,Gwanda,ADM2,2,6,ZWE,6
7,399.272472508,401.14350539,395.633369446,404.461150479,406.110870361,401.056177313,405.782661829,407.625646972,402.521484375,402.601264434,403.704353472,399.153369141,ADM2,ZWE_ADM2_1_3_3_7,Chikomba,ADM2,2,7,ZWE,7
8,398.797534684,399.572104313,395.633369446,402.32323301,404.15840488,400.62266371,405.753480125,407.195404053,403.140741984,401.175131188,403.322845459,399.153369141,ADM2,ZWE_ADM2_1_3_3_8,Hwedza,ADM2,2,8,ZWE,8
9,399.348187157,402.101421009,394.380578614,403.783048921,405.263292647,401.434702998,405.739768299,407.73097011,403.243682861,403.004745837,404.652915758,401.080576846,ADM2,ZWE_ADM2_1_3_3_9,Kariba,ADM2,2,9,ZWE,9
